Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),corrected_angles,Right_Elbow (X)_smoothed,Right_Elbow (Y)_smoothed,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
1,0.3028397858142853,-0.4506504833698272,-0.4628163576126098,0.513278603553772,-0.5318589210510254,-0.5103055238723755,0.7715688943862915,-0.5447065234184265,-0.4032167196273803,161.74597438894375,0.5132791270130515,-0.5318589161439489,0.3028406590914564,-0.4506508044739525,0.7715715212413191,-0.5447063722606345,161.7459641424199,,
2,0.3050731122493744,-0.4514168500900268,-0.456169992685318,0.5089682340621948,-0.5319304466247559,-0.4789996147155761,0.7601364254951477,-0.5452249050140381,-0.3236525356769562,161.48191856877384,0.5105872951283119,-0.5319624891837473,0.3051693459161465,-0.4511764997584108,0.7652206810664232,-0.5453031821761416,161.65979926985244,-5.169892354047079,
3,0.3077440559864044,-0.451857179403305,-0.4513041079044342,0.5074688792228699,-0.5319675207138062,-0.4640948176383972,0.75617915391922,-0.5455173254013062,-0.2836431860923767,161.26250944425033,0.50812612865342,-0.5320709427841841,0.3073632691669887,-0.4516739544555856,0.7596448896195156,-0.5458853224053964,161.52377728085085,-8.161319340095474,0.0012428660295636927
4,0.3092092871665954,-0.4520690143108368,-0.4499069154262543,0.5061456561088562,-0.5321600437164307,-0.4623554944992065,0.7547551393508911,-0.5463861227035522,-0.2849045097827911,161.14421284725643,0.5060634275314178,-0.5321853336445905,0.3093080075678655,-0.4521248136322362,0.755362276148785,-0.5464315601358397,161.36587753514266,-9.473984742491552,0.0013517100536931438
5,0.3111584782600403,-0.4525914788246155,-0.440250039100647,0.5048797130584717,-0.532335102558136,-0.4453337788581848,0.7531026005744934,-0.5471581220626831,-0.2483143806457519,161.0433692343405,0.5044775034666158,-0.5323013496729918,0.3109260479477076,-0.4525243184188654,0.7525200033245442,-0.5469149782024862,161.20812986754433,-9.464860055899749,0.0011421987587359823
6,0.3121587932109833,-0.4527116119861603,-0.4373725950717926,0.5033127069473267,-0.5324451327323914,-0.4436735510826111,0.7526190280914307,-0.5476062297821045,-0.2510144412517547,160.83820971522186,0.503368598160048,-0.5324109311974463,0.3121859862305319,-0.4528772807318408,0.7509510452383417,-0.5473125075299917,161.06753465988987,-8.435712459267393,0.0008641807365370864
7,0.313527375459671,-0.4531208276748657,-0.4374965727329254,0.5026934742927551,-0.5325357913970947,-0.4438827931880951,0.7507936358451843,-0.5476720929145813,-0.2404813468456268,160.71777564337958,0.5026846834127262,-0.5325056663108435,0.3131036020911503,-0.4531905069304148,0.7503197056349683,-0.5476161454860711,160.9560437971722,-6.689451763059537,0.0003653774097067761
8,0.3135203123092651,-0.4533723294734955,-0.4372325539588928,0.502375602722168,-0.5325891375541687,-0.4444049596786499,0.7505102157592773,-0.547745943069458,-0.2519402205944061,160.73946598076486,0.5023437767837378,-0.53257977877329,0.3137343709836441,-0.4534665763379212,0.7502615137017034,-0.5478364716711402,160.8798803521048,-4.569806704044481,0.0012235251517926501
9,0.313992440700531,-0.4537997543811798,-0.4307466149330139,0.5022217631340027,-0.532626748085022,-0.4326761662960052,0.7509809732437134,-0.5477408170700073,-0.2263143807649612,160.75384997567016,0.5022503200991846,-0.5326314232496542,0.314156987837966,-0.4537022920390954,0.7504712273831508,-0.5479956652171579,160.83900181095368,-2.4527124690678193,0.002258467815222065
10,0.314163327217102,-0.4539971351623535,-0.4205054640769958,0.5024600028991699,-0.5326575040817261,-0.4255358874797821,0.7508792281150818,-0.5480678081512451,-0.2274872213602066,160.87712081418363,0.5023088632330732,-0.5326623329043148,0.3144511515913933,-0.4538921388800939,0.7507386908056283,-0.5481158116399766,160.8277183572202,-0.677007224009003,0.002713470816711451
