Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),corrected_angles,Right_Elbow (X)_smoothed,Right_Elbow (Y)_smoothed,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
1,0.2318179905414581,-0.4300607740879059,-0.4768368303775787,0.479075163602829,-0.5189300179481506,-0.5707919001579285,0.7927016615867615,-0.5302558541297913,-0.5173922777175903,162.2987284006167,0.4790791645474689,-0.5189296499741932,0.231820502024565,-0.4300613651959421,0.7927060890099552,-0.5302557979407754,162.29908915308738,,
2,0.2359363287687301,-0.4324685335159302,-0.5150757431983948,0.4859595894813537,-0.5191258788108826,-0.5697043538093567,0.7973126173019409,-0.5292242765426636,-0.4680114686489105,162.74150556552206,0.4828335617693789,-0.5190213287118726,0.2345622492422697,-0.4314268528362233,0.7947913348766709,-0.5310794565933791,162.49138164554066,11.53754954719659,
3,0.2384124994277954,-0.4333502650260925,-0.5212854146957397,0.4884308278560638,-0.519132673740387,-0.5671418309211731,0.7994320392608643,-0.532845675945282,-0.4694356322288513,163.5873879985138,0.4860728408632528,-0.5190987681005782,0.2370132011208879,-0.4326184022614091,0.7963760264915205,-0.5318187503182413,162.77440952469442,16.981672749225822,0.004116455199843475
4,0.2388065457344055,-0.4338022768497467,-0.5245198011398315,0.4894331693649292,-0.5191375613212585,-0.5687565803527832,0.7996658682823181,-0.5328525304794312,-0.4699195027351379,163.7282433935842,0.4884609945523722,-0.5191497814428292,0.2389685390384888,-0.433520668000446,0.7971555218505834,-0.5323968092185056,163.0703780064404,17.758108904758387,0.0031915133918259645
5,0.240464985370636,-0.4339829981327057,-0.5219947099685669,0.4891502559185028,-0.5191229581832886,-0.5687676668167114,0.7956395745277405,-0.5328349471092224,-0.4761404395103454,163.66247373786564,0.4899181342776368,-0.5191665607754833,0.240350530335002,-0.4341041040297126,0.7971127708002388,-0.53276199518441,163.327403435252,15.42152572869611,0.002127676849681052
6,0.240783154964447,-0.4342013597488403,-0.5295034050941467,0.4897487461566925,-0.5190708041191101,-0.5761134624481201,0.7943604588508606,-0.5328062772750854,-0.4919995963573456,163.7581775133334,0.4905824551982639,-0.519145081338664,0.2411969045038434,-0.4344141049812674,0.7964640232498702,-0.5329036242537175,163.5203513967682,11.576877690972651,0.0024183046400428074
7,0.2415506988763809,-0.4342494904994964,-0.5431158542633057,0.4901075661182403,-0.5191078782081604,-0.5903152227401733,0.7944240570068359,-0.5327757596969604,-0.5016888976097107,163.72149246162837,0.4907057816742011,-0.5190847233724478,0.2416196278218064,-0.4345372271320974,0.7955158640996566,-0.5328514251966704,163.64709343332777,7.604522193573757,0.004980676504897952
8,0.2416233718395233,-0.4343928694725036,-0.5569484829902649,0.4901909232139587,-0.5191157460212708,-0.6053692102432251,0.7943900227546692,-0.5327473282814026,-0.518282413482666,163.74439339956268,0.490549058691846,-0.5189897726217139,0.2417602981853945,-0.4345648851234692,0.7945330720740363,-0.5326623229207983,163.7206514038235,4.413478229743646,0.008321977296809077
9,0.2416125237941742,-0.4344554245471954,-0.5595090389251709,0.4901500642299652,-0.518955647945404,-0.6127752661705017,0.7942245006561279,-0.5324252247810364,-0.5426647067070007,163.7588631674696,0.4903146590266722,-0.5188720884264583,0.2417551050143533,-0.434567768729185,0.793680305857586,-0.5324045103988345,163.75985613184477,2.3522836812765036,0.007806574845189992
10,0.241572231054306,-0.4345579147338867,-0.5587905049324036,0.4900093376636505,-0.5187142491340637,-0.615484893321991,0.7935155630111694,-0.5318299531936646,-0.5508146286010742,163.76098630249885,0.4901193735385114,-0.5187520912639847,0.241711684061272,-0.4345851710203649,0.7930321733820774,-0.5321426895654218,163.7813026963407,1.2867938697559111,0.00487382317312558
11,0.2415997833013534,-0.4347407519817352,-0.5534515976905823,0.4899440109729767,-0.5186586976051331,-0.6124656200408936,0.7929275035858154,-0.5318171381950378,-0.543448805809021,163.81615359690772,0.4899969220147832,-0.5186557415731262,0.2416968128843834,-0.4346271293563323,0.7926091303388522,-0.5319252181762247,163.7944540303653,0.7890800414759269,0.002154447880067487
12,0.2416162341833114,-0.4347235858440399,-0.5504778027534485,0.4899420142173767,-0.5185301899909973,-0.6091361045837402,0.7920255064964294,-0.5317824482917786,-0.5401507019996643,163.86308228198538,0.4899181506875547,-0.5186079912078625,0.2417341371365216,-0.4346841605916353,0.7924029446562952,-0.5317761931002993,163.8005355622733,0.3648919144796991,0.0007271965203144821
