Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Elbow (X)_smoothed,Right_Elbow (Y)_smoothed,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
1,0.2261579930782318,-0.5303518772125244,-0.540286660194397,0.4214524924755096,-0.6312050223350525,-0.5143502354621887,0.696901798248291,-0.654676616191864,-0.4254953861236572,0.4214859991495927,-0.6312116911266549,0.2261566892648608,-0.5303533840280338,0.6972078348719697,-0.6546795719503713,157.55539400320345,,
2,0.2403719574213028,-0.5364217758178711,-0.5035779476165771,0.4260683953762054,-0.6323434114456177,-0.4730134904384613,0.7017036080360413,-0.654611349105835,-0.3646562695503235,0.4246813792292593,-0.6328310318171847,0.2340857996296078,-0.5338465976143013,0.6898838179156763,-0.6544858545351212,157.42255158523932,-7.970545077847646,
3,0.2465492784976959,-0.5384826064109802,-0.4848164319992065,0.4297902882099151,-0.6333349943161011,-0.4391048550605774,0.7033896446228027,-0.6542008519172668,-0.2773657441139221,0.427287004547996,-0.6344254665716983,0.2408754773240757,-0.536838448955616,0.68169822774815,-0.6543474732392279,157.1916456084004,-13.854358610335566,0.004808230789595553
4,0.2491447478532791,-0.5403326153755188,-0.5116225481033325,0.4357345104217529,-0.6364663243293762,-0.4583911895751953,0.7037310600280762,-0.6534904837608337,-0.262958288192749,0.4289759420263871,-0.6359475444284507,0.2457975995080608,-0.5389882019344951,0.6727943855308064,-0.6542994742031667,156.87957002691374,-18.724534889199163,0.008054915534025273
5,0.2475841343402862,-0.5399882197380066,-0.5396985411643982,0.4285124838352203,-0.6373446583747864,-0.4570704400539398,0.6256044507026672,-0.65440434217453,-0.1576712727546692,0.4298250753429176,-0.63732420324965,0.2487424980104219,-0.5401959024200267,0.6644655892294882,-0.6543403463679407,156.50366306956803,-22.554417440742327,0.011042466033409783
6,0.2483896613121032,-0.5398303866386414,-0.5571314692497253,0.4284350872039795,-0.6390467882156372,-0.4638205766677856,0.6408572196960449,-0.6546183824539185,-0.1917055547237396,0.4302741128357522,-0.6384791632597906,0.2501339332605407,-0.5405808697801491,0.6584254440506025,-0.6544317985040415,156.09321515286095,-24.626875002425095,0.012633995385759534
7,0.2480552643537521,-0.5395442843437195,-0.5667038559913635,0.4287646114826202,-0.6394281983375549,-0.4675436019897461,0.648639440536499,-0.6547330021858215,-0.2197956442832946,0.4309102822815054,-0.6393613621753804,0.2506565936390688,-0.5403913117383359,0.6557024478395906,-0.6545165784830453,155.6909521977511,-24.135777306590853,0.005652617228514247
8,0.2480596452951431,-0.5393456816673279,-0.5651191473007202,0.4280887246131897,-0.6399477124214172,-0.4702352583408355,0.6557672023773193,-0.6548673510551453,-0.2046393007040023,0.4321977632101673,-0.6399615507564305,0.2509568847688784,-0.539900338520848,0.6560963618442283,-0.6545447519816499,155.34415192340822,-20.80801646057296,0.0016510083977846332
9,0.250142365694046,-0.5391845703125,-0.563432514667511,0.4331987500190735,-0.6403821706771851,-0.4718184769153595,0.6876033544540405,-0.654725193977356,-0.2114474177360534,0.4342910705768106,-0.640311624674667,0.2514428042075619,-0.5393309160854644,0.6585828274927491,-0.6544939751806669,155.0895938451198,-15.273484697305548,0.003964079298016841
10,0.2544664442539215,-0.5390891432762146,-0.5627120733261108,0.4413454532623291,-0.6406614780426025,-0.4668930470943451,0.6964164972305298,-0.6543600559234619,-0.1982249617576599,0.4370078397454342,-0.6404711322155283,0.2522377559936566,-0.5388243947217468,0.6621928939330124,-0.6543745718926691,154.9404653568779,-8.94770929451397,0.012218777775616332
11,0.254989892244339,-0.5383889675140381,-0.537999153137207,0.4403652846813202,-0.6401174664497375,-0.4364305138587951,0.6327803730964661,-0.6538304686546326,-0.1271265596151352,0.4399388649723464,-0.6405067655348492,0.2532673300954048,-0.5384433614951487,0.6664805324163741,-0.654218284091282,154.88260502822249,-3.471619719324508,0.01983936985547425
12,0.2551749646663666,-0.5381635427474976,-0.533026397228241,0.4410116970539093,-0.640084445476532,-0.4270000457763672,0.6319921016693115,-0.6537933349609375,-0.1195434257388114,0.4425959757290224,-0.6404691376957217,0.2543958254954826,-0.5381903323036592,0.6710633918650338,-0.6540574446108962,154.88216433991062,-0.0264412987121431,0.019957500887942292
13,0.2553665935993194,-0.5381218194961548,-0.5316568613052368,0.4448548555374145,-0.6401150822639465,-0.4385244250297546,0.6733545660972595,-0.6537700295448303,-0.2179965823888778,0.4445119033816744,-0.6403737455946155,0.2555210705162746,-0.5380287487571991,0.6747288467531465,-0.6539067486818205,154.9001492852511,1.07909672042922,0.012820730696578833
14,0.255174458026886,-0.5378674268722534,-0.5147892236709595,0.4441405236721039,-0.6400673389434814,-0.4434318542480469,0.6865881085395813,-0.6537726521492004,-0.2369628697633743,0.4452929977192987,-0.6401960205033972,0.256590964404461,-0.53790212473633,0.6752105052024303,-0.6537580058877209,154.9056817294546,0.331946652210604,0.0047941626959228005
15,0.2571592926979065,-0.5378528833389282,-0.5186069011688232,0.4451945126056671,-0.6401302814483643,-0.4501298367977142,0.6938893795013428,-0.6537417769432068,-0.255643218755722,0.4446738329847399,-0.6398860626412552,0.2575702859316218,-0.537751569573137,0.6701192044526842,-0.6535899139554616,154.8832550846812,-1.3455986864050828,0.0008876073457235906
16,0.2586723864078522,-0.5378398895263672,-0.5051954388618469,0.4460681080818176,-0.6400955319404602,-0.4452170133590698,0.6905487179756165,-0.653739869594574,-0.2550792694091797,0.4425961711809273,-0.6393985042249621,0.2584101962899681,-0.5375312002079279,0.658387137050966,-0.6533867204536047,154.83528617048418,-2.878134851820846,0.0006776041673638688
17,0.2597985863685608,-0.5373860001564026,-0.4959757030010223,0.4439669847488403,-0.6393622159957886,-0.4146333038806915,0.6403994560241699,-0.6532297134399414,-0.1789661198854446,0.439280460686793,-0.6387231568030449,0.2590507993022798,-0.5372188160568022,0.6411382386019313,-0.653156013511456,154.78186238659404,-3.2054270334083412,0.0010000104100287663
18,0.2597155570983886,-0.5367425680160522,-0.517202615737915,0.4308930337429046,-0.6370680332183838,-0.4182508587837219,0.5887729525566101,-0.6528381109237671,-0.1052026003599166,0.4352155847708576,-0.6378986242771916,0.259448327515372,-0.536817636075504,0.6213299103948998,-0.6529373194681087,154.75597083370272,-1.55349317347941,0.0005503917704962567
19,0.2594817876815796,-0.5360507965087891,-0.5297254323959351,0.4277147650718689,-0.6370362639427185,-0.4228676557540893,0.5851719975471497,-0.653123140335083,-0.1240013018250465,0.4310171317911218,-0.6370009578032442,0.2595986468176647,-0.5363470462984004,0.6024027805994268,-0.6527987847073858,154.79189068817604,2.155191268399222,0.0012572500129075309
