Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Elbow (X)_smoothed,Right_Elbow (Y)_smoothed,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Elbow (X)_smoothed_smoothed,Right_Elbow (Y)_smoothed_smoothed,Right_Shoulder (X)_smoothed_smoothed,Right_Shoulder (Y)_smoothed_smoothed,Right_Pinky (X)_smoothed_smoothed,Right_Pinky (Y)_smoothed_smoothed,angles,velocity,roughness
1,0.2965587973594665,-0.536080002784729,-0.4083633124828338,0.4809050261974334,-0.626448392868042,-0.4155928790569305,0.7358570694923401,-0.6436620354652405,-0.3457009494304657,0.4809023826162448,-0.6264498044232409,0.2965651788401543,-0.5360816552242132,0.7358533407562897,-0.6436620177280055,0.4809093416659959,-0.6264494931055967,0.2965648964476538,-0.5360813976906311,0.7358566766002492,-0.643662069495114,157.74771245938302,,
2,0.2999692261219024,-0.5356770157814026,-0.4406464695930481,0.4825294315814972,-0.6278353929519653,-0.4254896342754364,0.735867440700531,-0.6444669961929321,-0.3242672085762024,0.4813805338055326,-0.6272352038580896,0.2984706444798799,-0.5356771689254918,0.7341216499631872,-0.6443883040621932,0.4813466304698256,-0.6269761876355906,0.2978677246227318,-0.5358304240881504,0.7350261237325644,-0.6441005887323,157.62674592194668,-7.25799224618072,
3,0.3015295565128326,-0.535109281539917,-0.4501923024654388,0.4829932749271393,-0.6281757950782776,-0.4311022162437439,0.7351700663566589,-0.6448817849159241,-0.3149020373821258,0.4816739843335681,-0.6279107762943175,0.3000893403366442,-0.5353061978191357,0.7323320447757062,-0.6450641556215506,0.4816600775106002,-0.6274612232294249,0.2990495163893584,-0.5355826389948132,0.7340297416672414,-0.6445414562499604,157.44127429989993,-11.128297322804883,0.002080452970297607
4,0.3017291724681854,-0.5349775552749634,-0.4506064653396606,0.4828609228134155,-0.6286089420318604,-0.4301996827125549,0.732460081577301,-0.6456440687179565,-0.29532390832901,0.4817030267656008,-0.628399886233104,0.301240123743367,-0.5349968447439079,0.7305455698564081,-0.6456447523989569,0.4817785652671708,-0.627868947312748,0.3000204317592558,-0.5353452579932108,0.7328025038700892,-0.6449784995411051,157.2331238054192,-12.48902966884316,0.0020460465935644673
5,0.3018822371959686,-0.5349027514457703,-0.4502693116664886,0.4817093908786773,-0.6286705136299133,-0.4167257845401764,0.7270703911781311,-0.6464644074440002,-0.2809100747108459,0.4815353587325736,-0.6286782786898433,0.3018893391590324,-0.5347639717204419,0.7289719279920249,-0.6460975064399427,0.4817128891813146,-0.6281769817325161,0.3007381617822381,-0.5351275880020318,0.7314291224977247,-0.6453941572547618,157.0334168321594,-11.98241839558932,0.0015625228391520968
6,0.3016314804553985,-0.5345277786254883,-0.4453704953193664,0.4813134670257568,-0.628872811794281,-0.4110474586486816,0.7259644269943237,-0.6464638113975525,-0.2709065079689026,0.4813621742301842,-0.6287728162990103,0.3021314919635045,-0.5346078944801251,0.727886198414028,-0.6464091437378026,0.4815591428616476,-0.6283804476760888,0.3012125112671262,-0.5349388685475428,0.7301172559314562,-0.6457644001510252,156.8644631198487,-10.137222738641752,0.001190401757789217
7,0.3014435172080993,-0.534389078617096,-0.4423998594284057,0.4802188873291015,-0.6285625696182251,-0.4115123152732849,0.7261648178100586,-0.6464980244636536,-0.2826895415782928,0.4814142843617636,-0.6287460302499163,0.3021268802585004,-0.5345152741973612,0.7274867644708609,-0.6465887103982637,0.4814682912612745,-0.6284928508867168,0.3014938198218213,-0.5347847383478073,0.7291087735387636,-0.6460677985925269,156.74052206002216,-7.436463589592108,0.0011093556578567138
8,0.3018423318862915,-0.5344712138175964,-0.4462423622608185,0.4802196323871612,-0.6284701824188232,-0.4268058836460113,0.7263670563697815,-0.6465978026390076,-0.3035049438476562,0.4818542620440313,-0.6286743573872668,0.302032704543822,-0.5344607668384247,0.7277870322855142,-0.6466629033214336,0.4815894704165618,-0.6285427915517225,0.3016506216603967,-0.5346635575065403,0.7285766230906532,-0.6462929140291555,156.66761317663645,-4.37453300314246,0.003180411320586543
9,0.3017970323562622,-0.5344471335411072,-0.4668924808502197,0.481220543384552,-0.628588080406189,-0.4448765218257904,0.729648232460022,-0.6465783715248108,-0.3291066288948059,0.4826913041606189,-0.628627098836731,0.3019545131637797,-0.5344105869351509,0.7286012073583308,-0.6466660213027794,0.4820069385133473,-0.6285669502148133,0.3017455804349825,-0.5345643871649441,0.7285579490462454,-0.6464406051653963,156.64268081620438,-1.4959416259245015,0.005000590388441227
10,0.3017726540565491,-0.5343993306159973,-0.463441401720047,0.4842854738235473,-0.6286066174507141,-0.4429976046085357,0.7308990359306335,-0.6466077566146851,-0.3277193307876587,0.4837611121518552,-0.6286516721955742,0.301926682777979,-0.5343289729413574,0.7296224413974279,-0.6466302902270386,0.4826977923264333,-0.6286014054587695,0.3018172263744632,-0.53446808396888,0.7289498119651115,-0.6465217185105341,156.65319659528484,0.6309467448278383,0.005260291747909288
