Frame #,Right_Knee (X),Right_Knee (Y),Right_Knee (Z),Left_Knee (X),Left_Knee (Y),Left_Knee (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Left_Hip (X),Left_Hip (Y),Left_Hip (Z),Nose (X),Nose (Y),Nose (Z),Left_Hip (X)_smoothed,Left_Hip (Y)_smoothed,Left_Knee (X)_smoothed,Left_Knee (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,angles,velocity,roughness
1,0.5702254176139832,-0.6803663372993469,0.0153347896412014,0.4775889217853546,-0.6749884486198425,-0.026685481891036,0.5693836212158203,-0.5672681927680969,-0.0193012412637472,0.4756909310817718,-0.5685989856719971,0.0188605915755033,0.5176936388015747,-0.3890891671180725,0.2145034521818161,0.4756911324245781,-0.5685989073067946,0.4775886939035784,-0.6749884620334056,0.517690993846486,-0.3890886437180147,194.19038312433085,,
2,0.5694789886474609,-0.6796083450317383,0.0666757971048355,0.4770058393478393,-0.6754648685455322,-0.0281712505966424,0.5698816776275635,-0.5672659277915955,0.0041461386717855,0.4761191606521606,-0.5685422420501709,-0.0046578277833759,0.5165725946426392,-0.3894158005714416,0.2301501035690307,0.4759938111648961,-0.5685542808749214,0.4770923699307924,-0.6754168085255573,0.5170410849678808,-0.3893117470876748,193.90924772240857,-16.868124115337082,
3,0.5687159895896912,-0.679217517375946,0.0721151828765869,0.4764687418937683,-0.6759443283081055,-0.0294107720255851,0.5702216029167175,-0.5672656893730164,0.0078271077945828,0.4763957858085632,-0.5685157775878906,-0.0083433734253048,0.5161235928535461,-0.3896521627902984,0.2295238375663757,0.4762679679961758,-0.5685067142216567,0.4766437531454218,-0.6758182876056791,0.516478849919232,-0.3895088236809538,193.49020072098247,-25.14282008556563,0.009509804638849527
4,0.5683220624923706,-0.6789566278457642,0.0819349065423011,0.476145476102829,-0.6762507557868958,-0.0294482428580522,0.570432722568512,-0.5672495365142822,0.0110181160271167,0.4765306115150451,-0.5684822797775269,-0.0115261003375053,0.5159862041473389,-0.3896685540676117,0.2408031821250915,0.4764943058677952,-0.5684543146232237,0.4762779701705891,-0.6761733730107125,0.5160640847986557,-0.3896614039538308,193.03982623363711,-27.02246924072142,0.00810714811442644
5,0.5680391192436218,-0.6787834763526917,0.0738860815763473,0.4760083258152008,-0.676456868648529,-0.0302800182253122,0.5707736015319824,-0.5672168731689453,0.0100263953208923,0.4766818583011627,-0.568391740322113,-0.0105415657162666,0.5157966613769531,-0.3897296786308288,0.2456081807613372,0.4766675855800464,-0.5683965845331875,0.4760099036422112,-0.6764739606544787,0.5158140903295737,-0.3897620465832032,192.6286622634533,-24.669838211029287,0.005595827007362123
6,0.568001389503479,-0.6787126660346985,0.082580380141735,0.475913941860199,-0.6766595840454102,-0.0303246676921844,0.5710411667823792,-0.5672014951705933,0.0116420006379485,0.4767855107784271,-0.5683432221412659,-0.0121383424848318,0.515783965587616,-0.3897727131843567,0.2732737362384796,0.4767956525844561,-0.5683345042234437,0.4758344426085408,-0.6767224673434549,0.5157066660107199,-0.3898128255749087,192.2923636064363,-20.17791942101894,0.004782915374205706
7,0.5679910182952881,-0.6787175536155701,0.0906383171677589,0.4757844805717468,-0.6769187450408936,-0.0303127467632293,0.5712067484855652,-0.567182719707489,0.0146104376763105,0.4768685698509216,-0.5682681202888489,-0.0150946881622076,0.5157828330993652,-0.3897862136363983,0.2728430330753326,0.4768943186351715,-0.5682699072953987,0.4757329565403024,-0.6769273001848335,0.5156941694033808,-0.3898212796696149,192.03719741656616,-15.30997139220915,0.006196370069115716
8,0.5679815411567688,-0.6787099242210388,0.0891125127673149,0.4757086932659149,-0.6770272850990295,-0.0302940756082534,0.5713557004928589,-0.5671244859695435,0.0139010287821292,0.4769097864627838,-0.5681465864181519,-0.0143921896815299,0.5157811045646667,-0.3898030817508697,0.2687750458717346,0.4769806610475738,-0.5682043534993259,0.4756816836992888,-0.677097669126334,0.5157203577811887,-0.3897968110388623,191.84938554285523,-11.268712422655652,0.011729492636363942
9,0.5679724812507629,-0.678742527961731,0.0916499644517898,0.4756666421890259,-0.6772612929344177,-0.0302791390568017,0.5713902711868286,-0.5671138167381287,0.0149562042206525,0.4769664704799652,-0.5681254863739014,-0.0154437823221087,0.5157609581947327,-0.3897588849067688,0.2751640081405639,0.4770669751022681,-0.5681381280459322,0.4756583079062729,-0.6772401093877367,0.5157346613952289,-0.3897489430695025,191.70583649495072,-8.612942874270857,0.011809071504645009
10,0.5679813027381897,-0.6787438988685608,0.091934859752655,0.4756655097007751,-0.6773152947425842,-0.0301431901752948,0.5714622139930725,-0.5670953989028931,0.0146194659173488,0.4771791696548462,-0.5681023001670837,-0.0151126086711883,0.5157550573348999,-0.3897247612476349,0.2692689299583435,0.4771573027070573,-0.5680702014712354,0.4756455275652763,-0.6773574871140097,0.5157019001236484,-0.3896871062919361,191.5836454594752,-7.331462128530575,0.007651206314160253
11,0.5679805874824524,-0.6787808537483215,0.0923675447702407,0.4756370186805725,-0.6775125861167908,-0.0301301665604114,0.5715020298957825,-0.5670201778411865,0.0152515145018696,0.4772628247737884,-0.5680618286132812,-0.0157541800290346,0.5156824588775635,-0.3896089196205139,0.2723190784454345,0.4772477400475353,-0.5679994477609092,0.475632226427201,-0.6774501269737168,0.5156075528094106,-0.3896207895847647,191.46651680543832,-7.027719242213379,0.0033086491293248333
12,0.5679827928543091,-0.6788029074668884,0.0905213803052902,0.4756029546260834,-0.6775530576705933,-0.0299425162374973,0.5716134309768677,-0.5668255090713501,0.0148160578683018,0.4773882329463959,-0.5679210424423218,-0.0153259122744202,0.5155690312385559,-0.3895352780818939,0.2718917727470398,0.4773299941461724,-0.5679261810201096,0.4756131396541238,-0.6775180804926697,0.5154590221131163,-0.3895590887072023,191.34744286754105,-7.144436273836163,0.0008889337285921489
13,0.5680304169654846,-0.6788050532341003,0.0895161107182502,0.4755947589874267,-0.6775654554367065,-0.0299830585718154,0.571625828742981,-0.5666468143463135,0.0150444274768233,0.4774239361286163,-0.5678216814994812,-0.0155642507597804,0.5152876973152161,-0.389518529176712,0.2704698443412781,0.477396019144698,-0.5678525413785468,0.4755876301521607,-0.6775631683675911,0.5152825462155066,-0.3895095572476885,191.22809469403617,-7.160890410292495,0.00011955633535363643
14,0.5680277347564697,-0.6788030862808228,0.0880875885486602,0.4755488038063049,-0.6775695085525513,-0.0317074172198772,0.5716485977172852,-0.5665060877799988,0.0156611520797014,0.4774597585201263,-0.5677294135093689,-0.0161919873207807,0.5150773525238037,-0.38945472240448,0.2685022354125976,0.477441458049427,-0.5677813732432632,0.4755580491328247,-0.6775896210288058,0.5151152188685171,-0.3894769778368835,191.1160037575671,-6.725456188143539,1.4051593251732976e-05
15,0.5680075883865356,-0.6788070797920227,0.0815213844180107,0.4755172729492187,-0.6775923371315002,-0.0318424403667449,0.5716535449028015,-0.5664517283439636,0.0152639932930469,0.4774645864963531,-0.5677254796028137,-0.0158176813274621,0.5148272514343262,-0.3894504606723785,0.233260840177536,0.4774667922024718,-0.5677148106724108,0.4755280530305668,-0.6776031809987207,0.5149930637403666,-0.3894626387682989,191.02070235045815,-5.718084426537757,0.00010186455982674583
16,0.5679718852043152,-0.6788085699081421,0.0795439034700393,0.4754903018474579,-0.6776028275489807,-0.0319596230983734,0.5716080069541931,-0.566397488117218,0.0147246103733778,0.4774599373340606,-0.5677164196968079,-0.0152999032288789,0.5147899389266968,-0.3894469141960144,0.2193318456411361,0.4774763855397204,-0.5676539697934865,0.4755011271016123,-0.6776095822525156,0.5149384682331232,-0.3894643585484011,190.94987557485828,-4.249606535992143,0.0004255313388987323
17,0.5678969025611877,-0.6788095831871033,0.077440470457077,0.4754708111286163,-0.6776123046875,-0.0356989540159702,0.5715813636779785,-0.5662015080451965,0.014576394110918,0.4774543941020965,-0.567590594291687,-0.0151505060493946,0.5147793889045715,-0.3895070254802704,0.2167436182498932,0.4774763574183947,-0.5675997531421539,0.4754795440128256,-0.6776133824460897,0.5149517307200845,-0.3894773611075724,190.90648653789037,-2.6033422180745447,0.0009753166233716042
