Frame #,Right_Knee (X),Right_Knee (Y),Right_Knee (Z),Left_Knee (X),Left_Knee (Y),Left_Knee (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Left_Hip (X),Left_Hip (Y),Left_Hip (Z),Nose (X),Nose (Y),Nose (Z),Left_Hip (X)_smoothed,Left_Hip (Y)_smoothed,Left_Knee (X)_smoothed,Left_Knee (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,Left_Hip (X)_smoothed_smoothed,Left_Hip (Y)_smoothed_smoothed,Left_Knee (X)_smoothed_smoothed,Left_Knee (Y)_smoothed_smoothed,Nose (X)_smoothed_smoothed,Nose (Y)_smoothed_smoothed,angles,velocity,roughness
1,0.5705742835998535,-0.6805896162986755,0.0940907821059227,0.4779189527034759,-0.6776599287986755,-0.02700818143785,0.5763052701950073,-0.570356547832489,0.0190380085259675,0.4803285896778106,-0.5721589922904968,-0.0195628646761178,0.5189196467399597,-0.3927766978740692,0.2235844284296035,0.4803286989982899,-0.5721590590850298,0.4779193675924814,-0.6776602404830091,0.5189201307872587,-0.3927769592804926,0.4803285430317591,-0.5721590339633672,0.4779192760234197,-0.6776598036931435,0.5189199843494295,-0.3927769694820372,190.8330908638117,,
2,0.5704166889190674,-0.6799746155738831,0.0589879751205444,0.4778294265270233,-0.677666425704956,-0.040448822081089,0.5762888789176941,-0.5696666240692139,0.0123065738007426,0.4801966249942779,-0.5714413523674011,-0.0128175234422087,0.5178126096725464,-0.3927808403968811,0.1550708264112472,0.4801502532308955,-0.5715656945081722,0.4777886468859746,-0.6776666165274104,0.5178938146411256,-0.3924429412556044,0.4802290893133467,-0.5717795638068293,0.4778424994670743,-0.6776619087110419,0.5182640650765281,-0.3926471970998225,190.77837021001432,-3.2832392278425004,
3,0.5703265070915222,-0.6793807148933411,0.0626819133758544,0.4775915741920471,-0.6776660680770874,-0.0426839441061019,0.5762907862663269,-0.5690379738807678,0.0126602239906787,0.4800282716751098,-0.5708268880844116,-0.0131699619814753,0.5165382027626038,-0.3927496671676636,0.1788575202226638,0.4799740283845571,-0.5710388194145744,0.4776617042211264,-0.6776754338706854,0.516985079863775,-0.3920409918536348,0.4801213452081703,-0.5714177194318237,0.4777619866543456,-0.6776661418993783,0.517640026105499,-0.3924474130553472,190.69410913658837,-5.055664405556968,0.00043631819591613346
4,0.5701858401298523,-0.6790210008621216,0.0671866238117218,0.4775427281856537,-0.6776670813560486,-0.0456514544785022,0.576230525970459,-0.5686998963356018,0.0128722880035638,0.4799375832080841,-0.5704916715621948,-0.0133535182103514,0.5158317685127258,-0.3921250104904175,0.1585780531167984,0.4798053568460602,-0.5706275344819106,0.4775419050722984,-0.677687355659992,0.5162794073720769,-0.3915433185120265,0.4800015243715831,-0.5710910324038335,0.4776757495906154,-0.6776735476481397,0.5170785698507686,-0.3921348130851532,190.598523081381,-5.735163312442637,0.00044514543943042584
5,0.5701678395271301,-0.6786190867424011,0.0701376572251319,0.4774234890937805,-0.6776820421218872,-0.0458073206245899,0.5759783983230591,-0.568419873714447,0.0126843247562646,0.4795589745044708,-0.5702744126319885,-0.0131565500050783,0.5157797336578369,-0.3909600377082824,0.1726803928613662,0.479653745048658,-0.5703528873508429,0.4774315546891351,-0.6777007364883139,0.5158115488372332,-0.3909796767069934,0.4798729258928827,-0.570815107754084,0.4775841059871525,-0.6776837424581101,0.5166062334093943,-0.391709627404731,190.5044435546944,-5.644771601195089,0.000359888763692231
6,0.5701472163200378,-0.6784741878509521,0.0717949867248535,0.477400541305542,-0.6776774525642395,-0.0464197397232055,0.5758874416351318,-0.5683823227882385,0.012870704755187,0.4794259071350097,-0.5702527165412903,-0.0133484723046422,0.5157760381698608,-0.3897476196289062,0.1729449480772018,0.4795301887340844,-0.5702070942946506,0.4773325207047345,-0.6777114971248366,0.5155660326776701,-0.3904237952395094,0.4797449674202996,-0.5706002581295123,0.4774896900072801,-0.6776945962119335,0.5162399149292554,-0.3912140513738229,190.4199105829805,-5.0719783028347365,0.00027104103795511124
7,0.5701339244842529,-0.6784502267837524,0.0732062384486198,0.477316677570343,-0.6777008175849915,-0.0454488135874271,0.5757611989974976,-0.5683928728103638,0.0129959983751177,0.479426234960556,-0.5702595114707947,-0.0134625453501939,0.5157923102378845,-0.3895169794559479,0.1694578379392624,0.479442519914977,-0.5701615254632896,0.4772473673326957,-0.6777142294868703,0.5154953953867161,-0.389956856860745,0.4796294609029352,-0.5704488520086908,0.4773970663875148,-0.6777025178224659,0.515984128265612,-0.3907142099048898,190.34893292050384,-4.25865974859903,9.6988634896668e-05
8,0.5701256990432739,-0.6784544587135315,0.0743438899517059,0.4770897626876831,-0.6778053641319275,-0.0448372215032577,0.575670063495636,-0.5684016346931458,0.0131204491481184,0.4793936312198639,-0.5702672600746155,-0.0135799907147884,0.5156896710395813,-0.3894917666912079,0.1673110574483871,0.4793921666147709,-0.5701789765574516,0.4771795277039833,-0.6777047429271614,0.5155443391218174,-0.3896309772011761,0.4795362909283268,-0.570355129860512,0.4773119512116425,-0.677703632284582,0.5158328939565985,-0.390274325323689,190.29282440298164,-3.3665110513322816,0.00027839535562219594
9,0.5701266527175903,-0.6784585118293762,0.0748007744550705,0.4770791530609131,-0.6777907609939575,-0.0420842505991458,0.5756421685218811,-0.5684076547622681,0.013234969228506,0.479399561882019,-0.5702850222587585,-0.0136993946507573,0.515641987323761,-0.3895374536514282,0.1682557016611099,0.4793742894306456,-0.5702250371797278,0.4771315665949185,-0.6776832957036932,0.5156669576050114,-0.3894526493779328,0.4794706335247635,-0.5703075270352856,0.477239778093909,-0.6776957428587309,0.5157740898493066,-0.3899356774921304,190.251618598036,-2.472348296738005,0.0004530373014482708
10,0.5701228380203247,-0.6784635782241821,0.0743761360645294,0.4770954847335815,-0.6776129007339478,-0.0417569279670715,0.575641930103302,-0.5684149265289307,0.0132519835606217,0.4794064462184906,-0.5702944993972778,-0.0137244155630469,0.5156804323196411,-0.3895587623119354,0.1856970787048339,0.4793804205183056,-0.5702750573088512,0.4771026302599981,-0.6776564153249836,0.5158318085906264,-0.3893895885130159,0.4794324945984089,-0.5702922109758621,0.4771838343664354,-0.6776801969454092,0.5157929906231724,-0.3897083224889155,190.22484771781015,-1.6062528135512366,0.0005279124011643005
