Frame #,Right_Knee (X),Right_Knee (Y),Right_Knee (Z),Left_Knee (X),Left_Knee (Y),Left_Knee (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Left_Hip (X),Left_Hip (Y),Left_Hip (Z),Nose (X),Nose (Y),Nose (Z),corrected_angles,Left_Hip (X)_smoothed,Left_Hip (Y)_smoothed,Left_Knee (X)_smoothed,Left_Knee (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,angles,velocity,roughness
1,0.5827696919441223,-0.7279022932052612,0.1801555603742599,0.4450909197330475,-0.7193205952644348,0.0181789118796587,0.5708255171775818,-0.5828180313110352,0.0278879459947347,0.4469040334224701,-0.5827395915985107,-0.0280880462378263,0.5177904367446899,-0.3265080749988556,0.2265935242176056,194.7035387150279,0.4469039566545518,-0.5827397216793186,0.445090842655599,-0.7193207445251706,0.5177900897408622,-0.3265080042715899,194.703471021606,,
2,0.5836141109466553,-0.7289167046546936,0.1803974956274032,0.4436649978160858,-0.7208172082901001,0.0181161668151617,0.5698607563972473,-0.5813786387443542,0.0300514865666627,0.4468933045864105,-0.5818007588386536,-0.0302183534950017,0.5199984312057495,-0.3265060186386108,0.2945550084114074,194.64906053514835,0.4468967727343012,-0.582151249050078,0.4442401934729824,-0.7200990620176126,0.519333651676594,-0.3265270738349971,194.7092895290509,0.3491104466939987,
3,0.5841733813285828,-0.729526698589325,0.1807533502578735,0.4429716169834137,-0.7214452624320984,0.0178028456866741,0.5693129897117615,-0.5806560516357422,0.0320329591631889,0.4468958079814911,-0.5812853574752808,-0.0321916565299034,0.5212811231613159,-0.3265738785266876,0.3008404672145843,194.67604076537464,0.4468903894422586,-0.5816382349998865,0.4434911329459424,-0.7207416440825832,0.520696035510283,-0.326544069995518,194.72026752863917,0.6586799752966499,1.3310179588787177e-05
4,0.584489643573761,-0.7296535968780518,0.182803601026535,0.4427962303161621,-0.7214325666427612,0.0198830496519804,0.5689313411712646,-0.5803818106651306,0.0332101322710514,0.4468985497951507,-0.5810890793800354,-0.0333753749728202,0.5219994783401489,-0.3265492618083954,0.3066000044345855,194.76416703894893,0.4468858665276544,-0.5812509688595675,0.4429113364546193,-0.7211608281768658,0.521747594698867,-0.3265571569362807,194.7330996141231,0.7699251290353004,1.3208045099241405e-05
5,0.5844889283180237,-0.7296839356422424,0.1829456090927124,0.4426466822624206,-0.721171498298645,0.0274427253752946,0.5686162114143372,-0.5802663564682007,0.0331256948411464,0.4468850195407867,-0.5810145139694214,-0.033292219042778,0.5226579904556274,-0.3265601694583893,0.3070028424263,194.85070829521197,0.4468846948959791,-0.5810022622108607,0.4425192956597706,-0.7213389666379487,0.5224385029351392,-0.3265649852772037,194.742582304826,0.5689614421737588,8.844075300457474e-06
6,0.5844907164573669,-0.7296976447105408,0.1830064803361892,0.4424708187580108,-0.7211142182350159,0.0286329872906208,0.5684947967529297,-0.5802722573280334,0.0331731513142585,0.4468908905982971,-0.5810166597366333,-0.0333427563309669,0.5226311683654785,-0.3265625834465027,0.3008215427398681,194.76897520597495,0.4468886486014997,-0.580871771220491,0.4422916861782985,-0.7213190200947625,0.5227967427921395,-0.3265667201860207,194.7436637588741,0.0648872428871527,2.1758415429375122e-05
7,0.5844866037368774,-0.7296984195709229,0.1830270439386367,0.4422884881496429,-0.7209816575050354,0.029961297288537,0.5683791041374207,-0.580260694026947,0.0331578068435192,0.4468918144702911,-0.5809891819953918,-0.0333271771669387,0.5226109623908997,-0.3265626132488251,0.30176642537117,194.69001822092093,0.4468992543110767,-0.5808213951608626,0.4421830372859807,-0.7211758973151537,0.5229027843857188,-0.3265619912060157,194.73339116869565,-0.6163554107075697,9.140454022833403e-05
8,0.584484338760376,-0.7297333478927612,0.1832683086395263,0.4421850144863128,-0.7208414673805237,0.0298921409994363,0.5683131814002991,-0.5802009105682373,0.0332629345357418,0.4468952119350433,-0.580912709236145,-0.033437181264162,0.522589921951294,-0.326560229063034,0.3026026487350464,194.64495549543875,0.4469170337238523,-0.580812287671077,0.4421448265437921,-0.7209862838703058,0.522855034617182,-0.3265509668158038,194.71162327799465,-1.3060734420599829,0.000205043986098961
9,0.5845044851303101,-0.7298700213432312,0.1832160651683807,0.4421604573726654,-0.7207122445106506,0.0298027638345956,0.5683002471923828,-0.5800975561141968,0.0332411304116249,0.446930855512619,-0.5808035135269165,-0.0334160327911376,0.522620439529419,-0.3265344202518463,0.3099511563777923,194.6241301949034,0.4469408887613397,-0.5808161446356946,0.4421373622543843,-0.7208080634333685,0.5227400053006257,-0.3265345557942608,194.6804322958196,-1.871458930502854,0.0002721415564895277
10,0.5845678448677063,-0.729988694190979,0.1834452897310257,0.4421474635601043,-0.7206657528877258,0.0306618753820657,0.5682779550552368,-0.5800924301147461,0.0332351364195346,0.446971982717514,-0.5807994604110718,-0.0334120355546474,0.5226045250892639,-0.3265181481838226,0.3101666271686554,194.58883332049544,0.4469680564275721,-0.5808184291935355,0.4421343708892131,-0.7206720274764065,0.5226159621750521,-0.3265145434861003,194.64293681625767,-2.24972877371556,0.0002433700989057024
