Frame #,Nose (X),Nose (Y),Nose (Z),Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),corrected_angles,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.268631507879079e-05,6.775380678698407e-06,4.6558775788483384e-05,2.466047810120391e-05,0.0001245410707909,-3.840613237748511e-06,167.8943901529442,,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0093936312273609,0.0194749504932363,-0.0085326896306932,0.0212810259044632,-0.006850734073301,0.020901793055791,114.82305885449784,-3184.279877906781,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0134170513322945,0.0280321329493451,-0.0121915727765387,0.0305739012343141,-0.0095584091489448,0.0300734535400513,83.44568038245268,-1882.64270832271,235.31379461706
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0071520810178136,0.015722281670133,-0.0065381536203352,0.016997649980031,-0.0043548625056888,0.0168301348552176,67.14293038172848,-978.1650000434522,341.6334305716139
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127963842884188,-0.0245947084849305,0.0115201074777381,-0.0272434420509167,0.0111881136812046,-0.0264798140964987,46.182640029032065,-1257.6174211617847,267.59399508881995
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0470328568431285,-0.0944249320952919,0.0425446602839598,-0.1037463764583768,0.037280993446677,-0.1014582412979378,39.105348196439685,-424.6375099555428,309.7460272229223
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0922161247175554,-0.1871410739211819,0.0835068964924371,-0.2051854715828727,0.0711391696303048,-0.2009824711103796,35.84010957934729,-195.9143170255436,125.68547417586106
8,0.2145295441150665,-0.5255882143974304,-0.8838438391685486,0.2364354580640792,-0.4772087037563324,-0.6259915828704834,0.2194225639104843,-0.4671642184257507,-0.3600998222827911,0.1906817853450775,-0.5119625926017761,-0.1614169776439666,28.419478532784296,0.1413425420281314,-0.2883290703499347,0.1280274731611874,-0.3157214296863401,0.1073787330150745,-0.3095913474563437,34.315474114196704,-91.4781279090353,71.35808796875028
9,0.2151420265436172,-0.5229706168174744,-0.7971401810646057,0.2394033074378967,-0.4794412851333618,-0.5821600556373596,0.196214884519577,-0.4668247997760772,-0.4306942224502563,0.1802998483180999,-0.5160889625549316,-0.3661264181137085,29.065294947959387,0.1861893915613963,-0.3805001740489775,0.168568081529407,-0.4161910209351766,0.1400652299711459,-0.4085641980151706,33.55139339275212,-45.84484328667514,69.32841894342346
10,0.2151420265436172,-0.5229706168174744,-0.7971401810646057,0.2394033074378967,-0.4794412851333618,-0.5821600556373596,0.196214884519577,-0.4668247997760772,-0.4306942224502563,0.1802998483180999,-0.5160889625549316,-0.3661264181137085,29.065294947959387,0.2207644514892236,-0.4499618873239028,0.1995390361916607,-0.4916340567401534,0.1653965478509214,-0.4833179448564482,32.90751873742168,-38.63247931982613,7.206745267773111
11,0.2151420265436172,-0.5229706168174744,-0.7971401810646057,0.2394033074378967,-0.4794412851333618,-0.5821600556373596,0.196214884519577,-0.4668247997760772,-0.4306942224502563,0.1802998483180999,-0.5160889625549316,-0.3661264181137085,29.065294947959387,0.2434263417646004,-0.4913020535826142,0.2192316168721672,-0.5361771543253693,0.1831453586842405,-0.52822162290049,31.817568734033003,-65.39700020332077,1.1375838900396955
12,0.2151420265436172,-0.5229706168174744,-0.7971401810646057,0.2394033074378967,-0.4794412851333618,-0.5821600556373596,0.196214884519577,-0.4668247997760772,-0.4306942224502563,0.1802998483180999,-0.5160889625549316,-0.3661264181137085,29.065294947959387,0.2565000955632039,-0.5072392366838915,0.2295376324372249,-0.552846426327387,0.1960060327317039,-0.5463898185325384,29.690034636668916,-127.65204584184524,0.36815380186935065
13,0.2151420265436172,-0.5229706168174744,-0.7971401810646057,0.2394033074378967,-0.4794412851333618,-0.5821600556373596,0.196214884519577,-0.4668247997760772,-0.4306942224502563,0.1802998483180999,-0.5160889625549316,-0.3661264181137085,29.065294947959387,0.2641728667360172,-0.5053558225470698,0.2341635061148395,-0.5499936262122669,0.2075694616067489,-0.546078164260267,25.95607882737904,-224.03734855739245,1.6698285848675654
14,0.2151420265436172,-0.5229706168174744,-0.7971401810646057,0.2394033074378967,-0.4794412851333618,-0.5821600556373596,0.196214884519577,-0.4668247997760772,-0.4306942224502563,0.1802998483180999,-0.5160889625549316,-0.3661264181137085,29.065294947959387,0.2701805986249662,-0.4943603023698668,0.2366482920119147,-0.5372140370475181,0.2202364554638382,-0.536559315841132,20.278511049328213,-340.65406668304973,4.268071909181762
15,0.2473803758621215,-0.5084621906280518,-1.130670189857483,0.2925920784473419,-0.471509724855423,-0.7666249871253967,0.3114448487758636,-0.4882126748561859,-0.3342556357383728,0.2619789838790893,-0.5177390575408936,0.1904160231351852,342.7723964037777,0.2764092729695022,-0.4814629702409946,0.2391055216100413,-0.5224476313800479,0.234128919549169,-0.5252509439242342,12.84246206604187,-446.16293899718056,6.666279710530522
16,0.2473803758621215,-0.5084621906280518,-1.130670189857483,0.2925920784473419,-0.471509724855423,-0.7666249871253967,0.3114448487758636,-0.4882126748561859,-0.3342556357383728,0.2619789838790893,-0.5177390575408936,0.1904160231351852,342.7723964037777,0.2828047588693094,-0.4712344357821602,0.2419921160181548,-0.5106525670974568,0.2474136730826648,-0.5165443184299182,148.50438074620493,8139.715120809784,3946.7480470369396
17,0.2473803758621215,-0.5084621906280518,-1.130670189857483,0.2925920784473419,-0.471509724855423,-0.7666249871253967,0.3114448487758636,-0.4882126748561859,-0.3342556357383728,0.2619789838790893,-0.5177390575408936,0.1904160231351852,342.7723964037777,0.2882096981574167,-0.4656496757960865,0.2446382725544041,-0.503774096525807,0.257562076215678,-0.5119895314737601,226.96855052831864,4707.850186926823,4219.622894859773
18,0.2473803758621215,-0.5084621906280518,-1.130670189857483,0.2925920784473419,-0.471509724855423,-0.7666249871253967,0.3114448487758636,-0.4882126748561859,-0.3342556357383728,0.2619789838790893,-0.5177390575408936,0.1904160231351852,342.7723964037777,0.2913526216683043,-0.4647911730926918,0.2459973444915049,-0.5015173278073972,0.2625825866333239,-0.5111968072610904,272.4996184244609,2731.8640737685346,3641.1616200718204
19,0.2473803758621215,-0.5084621906280518,-1.130670189857483,0.2925920784473419,-0.471509724855423,-0.7666249871253967,0.3114448487758636,-0.4882126748561859,-0.3342556357383728,0.2619789838790893,-0.5177390575408936,0.1904160231351852,342.7723964037777,0.29148013367523,-0.467701730037227,0.2452363959901342,-0.5024118388174721,0.2616589545406672,-0.5128686911887977,299.63019510987374,1627.8346011247709,2954.437650403748
