Frame #,Nose (X),Nose (Y),Nose (Z),Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),corrected_angles,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7342958140419944e-05,-2.4020374966791527e-05,-6.634048628237648e-06,1.8223351855516075e-05,-0.0001817876255426,-6.734458386241372e-05,316.2942922113458,,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007316500350458,-0.0160938834025952,0.0074603056864898,-0.0181820084258929,0.0053870830026355,-0.0172760900771062,214.75365371626108,-6092.438309705083,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0231375370188623,-0.0480124617029358,0.021886004114904,-0.0534283590024483,0.0179156197834596,-0.0512562838759798,146.90815772437148,-4070.729759513376,567.681314155313
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0528230617956853,-0.1052774109405633,0.0473909517514749,-0.1158468851206837,0.041849067126997,-0.1120274917133626,100.62642394313345,-2776.904026874282,775.650836527023
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0961616701934823,-0.1867117757311505,0.083334377137881,-0.2039554868608874,0.077320495125708,-0.1982812736675039,69.09702262133203,-1891.764079308085,924.3306995647016
6,0.2093400657176971,-0.5149507522583008,-0.8572891354560852,0.2438454180955886,-0.4702793657779693,-0.656488835811615,0.2716688513755798,-0.4635758697986603,-0.4124490618705749,0.203521117568016,-0.4994459748268127,-0.1243809163570404,16.438304175956546,0.1473340694482041,-0.2804871211042624,0.124353755299755,-0.3047707065013911,0.1200557714700212,-0.2974320369072955,47.35081092045632,-1304.7727020525426,1014.0982798625727
7,0.2093400657176971,-0.5149507522583008,-0.8572891354560852,0.2438454180955886,-0.4702793657779693,-0.656488835811615,0.2716688513755798,-0.4635758697986603,-0.4124490618705749,0.203521117568016,-0.4994459748268127,-0.1243809163570404,16.438304175956546,0.1974837539701529,-0.3694221514484951,0.1627746047480396,-0.3996925044907673,0.1633455924306444,-0.3912771939843038,31.796499275377517,-933.258698704728,439.82090444114584
8,0.2093400657176971,-0.5149507522583008,-0.8572891354560852,0.2438454180955886,-0.4702793657779693,-0.656488835811615,0.2716688513755798,-0.4635758697986603,-0.4124490618705749,0.203521117568016,-0.4994459748268127,-0.1243809163570404,16.438304175956546,0.2386180916123874,-0.4387924127084498,0.1921321625555632,-0.4730594076890966,0.2009487585246817,-0.464312482217003,19.989499433897382,-708.419990488808,192.1681111015062
9,0.2092750817537307,-0.5043836832046509,-1.2048887014389038,0.2864023149013519,-0.4903467297554016,-0.7814340591430664,0.3077646195888519,-0.4976386427879333,-0.3232216238975525,0.2040936052799224,-0.5161545276641846,0.146154299378395,352.9060299091078,0.2664569215498624,-0.4817562152941422,0.2095812175879665,-0.5179238347349665,0.2290145327065053,-0.5094790191370259,154.3680346195887,8062.71211114148,4832.075325522902
10,0.2012704163789749,-0.5063074827194214,-0.9557511210441588,0.2699122726917267,-0.4700237214565277,-0.6766214966773987,0.3305094540119171,-0.4603552520275116,-0.2761843502521515,0.2542835175991058,-0.4972381293773651,0.1919086128473281,327.7287111111575,0.2810077031647509,-0.4999180297348881,0.2160700406341091,-0.5363731253026105,0.2463026341446066,-0.5287006771040783,232.47627341290655,4686.49432759907,4918.542836887764
11,0.2012704163789749,-0.5063074827194214,-0.9557511210441588,0.2699122726917267,-0.4700237214565277,-0.6766214966773987,0.3305094540119171,-0.4603552520275116,-0.2761843502521515,0.2542835175991058,-0.4972381293773651,0.1919086128473281,327.7287111111575,0.2853756267129245,-0.5003456111014469,0.2149114576024298,-0.5360727815691042,0.2535179157081972,-0.5296349622015784,277.2023148902035,2683.562488637818,3993.4763882132347
12,0.2012704163789749,-0.5063074827194214,-0.9557511210441588,0.2699122726917267,-0.4700237214565277,-0.6766214966773987,0.3305094540119171,-0.4603552520275116,-0.2761843502521515,0.2542835175991058,-0.4972381293773651,0.1919086128473281,327.7287111111575,0.2838926565705703,-0.4916610021445615,0.2099964393608198,-0.5260920140711667,0.2526560790864523,-0.5214578433127416,302.85494495459807,1539.1578038636726,3065.458237986334
13,0.2012704163789749,-0.5063074827194214,-0.9557511210441588,0.2699122726917267,-0.4700237214565277,-0.6766214966773987,0.3305094540119171,-0.4603552520275116,-0.2761843502521515,0.2542835175991058,-0.4972381293773651,0.1919086128473281,327.7287111111575,0.2804482219021365,-0.4810433662044071,0.2044912626010047,-0.513918442086185,0.2465018353707819,-0.5116556223484189,318.25694639254715,924.1200862769448,2315.3728916860027
