Frame #,Nose (X),Nose (Y),Nose (Z),Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
1,0.2356405258178711,-0.4908904135227203,-0.8069590330123901,0.2538689076900482,-0.4913817644119262,-0.508095383644104,0.2484071254730224,-0.4930534362792969,-0.4283438324928283,0.1919234693050384,-0.5205800533294678,-0.3605652451515198,0.2538133593225025,-0.4913841543463445,0.2356410055946973,-0.4908924312927344,0.1919074442078982,-0.5205930553175258,333.1908021930693,,
2,0.235645979642868,-0.4985274970531463,-0.9970411658287048,0.2669978141784668,-0.4908687174320221,-0.6475121378898621,0.2960439026355743,-0.4760038256645202,-0.4212724864482879,0.2305098325014114,-0.5197967886924744,-0.2238237112760543,0.276069622307486,-0.4881297963057173,0.2333501877827093,-0.4904658765717332,0.2451269114440962,-0.511461631072484,330.3595009017113,-169.8780774814827,
3,0.2262983918190002,-0.4999366402626037,-1.0946794748306274,0.2868450880050659,-0.4749926030635834,-0.7182613015174866,0.3252325356006622,-0.4460266828536987,-0.3948838710784912,0.3090630769729614,-0.4861312806606293,-0.150103822350502,0.2988116665558257,-0.4861379368603064,0.2310943026123579,-0.4883857907706396,0.3101418444135972,-0.5022912970980511,292.9576580008591,-2244.1105740511293,597.561173586882
4,0.2328991144895553,-0.4872479736804962,-1.1370935440063477,0.3318515121936798,-0.4856503903865814,-0.7944318056106567,0.3812809288501739,-0.4577445089817047,-0.5194795727729797,0.3455742001533508,-0.4944067895412445,-0.2491930574178695,0.3219636719595599,-0.4862544369511014,0.2288984070116547,-0.483741580215956,0.3943735359550944,-0.4930293344200545,249.29401315979737,-2619.818690463704,483.6021317455342
5,0.2245455533266067,-0.4867799878120422,-1.160732626914978,0.3111377656459808,-0.4819160997867584,-0.7668725252151489,0.3324260711669922,-0.4619570970535278,-0.4599354863166809,0.2860638499259949,-0.5019761323928833,-0.1257980018854141,0.3446448900355116,-0.4886439742202633,0.2267767986837837,-0.4767546161659129,0.4973056532454798,-0.4837007119589278,218.53057836689584,-1845.806087574092,324.3583961596343
6,0.2249693125486374,-0.4586820006370544,-1.2550967931747437,0.3952305614948272,-0.4984323680400848,-0.992034375667572,0.5375826358795166,-0.4673235118389129,-0.9339476227760316,0.6948181390762329,-0.4741864800453186,-0.9089148044586182,0.3653786405521625,-0.4927938174405157,0.2247547724462577,-0.4686395249511322,0.6094544215011161,-0.4745877421756086,197.51346010755657,-1261.0270955603562,254.96698732378883
7,0.2255875170230865,-0.4504467248916626,-1.2745906114578247,0.401757150888443,-0.5030628442764282,-1.0335484743118286,0.5924166440963745,-0.4750234186649322,-1.071319818496704,0.8519118428230286,-0.4579454958438873,-1.1028592586517334,0.3827020332587663,-0.4977819239701573,0.2228993705195638,-0.4610279759456048,0.7155747905199411,-0.466293808161823,183.16553382260304,-860.8755770972118,141.542528287975
8,0.2215905636548996,-0.4494837820529938,-1.275340557098389,0.3929998278617859,-0.5018766522407532,-1.0376712083816528,0.5981601476669312,-0.4821014106273651,-1.0830743312835691,0.8569954037666321,-0.4553744494915008,-1.1512657403945925,0.3958267732648145,-0.5026536023920066,0.2213401270263923,-0.45526086724034,0.8011890954446181,-0.459527885884629,173.3919637985946,-586.414201440507,184.20416866732617
9,0.2206612974405288,-0.4531291723251343,-1.3058347702026367,0.384249746799469,-0.5092133283615112,-1.0404133796691897,0.5854951739311218,-0.4879377782344818,-1.072648048400879,0.8596524596214294,-0.4536783993244171,-1.1039175987243652,0.4048409859753593,-0.5067109391449923,0.2202518474236078,-0.4519256813734282,0.8583791907559112,-0.4547631850138399,166.80926627163666,-394.96185161747576,93.01976319186102
10,0.2152987271547317,-0.4552587568759918,-1.3772920370101929,0.4096073806285858,-0.5091105699539185,-1.0530740022659302,0.6055164337158203,-0.4880456626415252,-1.057891845703125,0.8633533716201782,-0.4528530538082123,-1.0691149234771729,0.4103567987947751,-0.5096232850861871,0.2197793462466933,-0.4508319613420086,0.8874465896479448,-0.4520487116445803,162.47532003437254,-260.0367742358469,44.19537974835959
11,0.2188848704099655,-0.4530323445796966,-1.321300745010376,0.4210909307003021,-0.5106738209724426,-1.0428582429885864,0.609401285648346,-0.4878384172916412,-1.0995582342147827,0.8685883283615112,-0.4531213343143463,-1.201984167098999,0.4130760945566242,-0.5113912221377872,0.2199355988035141,-0.4513134881466367,0.8946771371317032,-0.4510582935888124,159.71749137827442,-165.4697193658876,21.349806217747943
12,0.2212343662977218,-0.4543124139308929,-1.3554590940475464,0.4168757498264313,-0.5118449330329895,-1.085462212562561,0.6074110865592957,-0.4876664876937866,-1.1458983421325684,0.8655379414558411,-0.4521928131580353,-1.230602741241455,0.4136739632303435,-0.5122360095166552,0.2205523050275938,-0.4525982374068487,0.8886643884852996,-0.4512680046031263,158.04031224070317,-100.63074825427464,10.45021614527426
13,0.2234379798173904,-0.4545938372611999,-1.3394272327423096,0.414569616317749,-0.5114943385124207,-1.0737735033035278,0.6025393009185791,-0.488395631313324,-1.141299605369568,0.868141770362854,-0.4518127739429474,-1.2348554134368896,0.4128947261219247,-0.5124727743948339,0.2213349954675645,-0.4540630887791378,0.8772575628769127,-0.4521303845575674,157.07969767052046,-57.63687421096279,5.059580145159562
14,0.2234846949577331,-0.4552978575229645,-1.4022568464279177,0.408259630203247,-0.5122511386871338,-1.1243443489074707,0.5981515645980835,-0.4897176921367645,-1.2084208726882937,0.8636106848716736,-0.4537238478660583,-1.328898787498474,0.411556814861173,-0.5124068758227083,0.221990118339009,-0.4553342926543497,0.86594934454471,-0.453183742057133,156.57535002273397,-30.260858867189313,2.3580443219399925
15,0.2212444394826889,-0.4566216766834259,-1.3289422988891602,0.4029282331466675,-0.5120528340339661,-1.061194896697998,0.5956146121025085,-0.4907951056957245,-1.134076476097107,0.8625282049179077,-0.454690158367157,-1.217099666595459,0.4103728346797369,-0.5122714357893133,0.2223393910686189,-0.4562750704260072,0.8576086183171057,-0.4540999761809577,156.34747944706373,-13.672234540214276,1.0343836511843791
16,0.2215990424156189,-0.4562439024448395,-1.356106519699097,0.4084093868732452,-0.5120896697044373,-1.056743621826172,0.6022928953170776,-0.4907721281051636,-1.1300649642944336,0.8594146370887756,-0.45462566614151,-1.2123773097991943,0.4097303057040767,-0.5122048947138975,0.2223675685164483,-0.4569121071757637,0.8530475069970843,-0.4546944193795558,156.27510033365746,-4.342746804376247,0.41930731907025565
17,0.2231136411428451,-0.4561587572097778,-1.3916300535202026,0.4139659106731415,-0.5118666887283325,-1.039497971534729,0.598957359790802,-0.4906015992164612,-1.0712889432907104,0.8569145798683167,-0.4542098939418793,-1.1244473457336426,0.4096240156897961,-0.5122582392106736,0.2222180396905014,-0.4573393984821077,0.8518605817191973,-0.4549105119647311,156.2763496270313,0.0749576024298903,0.15299984445902656
18,0.2232350707054138,-0.4566082954406738,-1.4165527820587158,0.412017285823822,-0.5130849480628967,-1.0635377168655396,0.5925626754760742,-0.4909106791019439,-1.089470624923706,0.8557818531990051,-0.4541402161121368,-1.1580402851104736,0.4097962205102606,-0.5124215085100272,0.2221781612599864,-0.4576301509856907,0.8531299626700598,-0.4547891322350048,156.29119966219383,0.8910021097523213,0.046851636898131835
19,0.2252459526062011,-0.457351416349411,-1.3879858255386353,0.411621630191803,-0.5132337808609009,-1.0449830293655396,0.5904674530029297,-0.4910312294960022,-1.0677974224090576,0.8556267023086548,-0.4545497298240661,-1.1232683658599854,0.4099663725407776,-0.5126606743201525,0.2226626678988168,-0.4577864879517627,0.8558132785901321,-0.4544425095759205,156.267330380276,-1.4321569150695268,0.009745085545764982
20,0.2247872948646545,-0.4585218429565429,-1.3668655157089231,0.4095050692558288,-0.5132437944412231,-1.0787420272827148,0.5909001231193542,-0.4913098216056824,-1.1406303644180298,0.8556143045425415,-0.4551810920238495,-1.2005493640899658,0.4099881025539258,-0.5129513955609003,0.2241579090971815,-0.4577465243341562,0.858826617777556,-0.4540504028146016,156.15184548404517,-6.929093773850354,0.002928198678734555
21,0.2247743308544159,-0.4574770629405975,-1.367537021636963,0.4091067612171173,-0.5130860209465027,-1.0837745666503906,0.5887221097946167,-0.4914105832576751,-1.1317633390426636,0.8516167402267456,-0.4553984701633453,-1.2140803337097168,0.4098704762860917,-0.5132932057250651,0.227084799885359,-0.4574428027906265,0.8609620948600836,-0.4538720354848734,155.89317737950182,-15.520086272600793,0.012966186970146015
22,0.2230229675769806,-0.4584569036960602,-1.3627009391784668,0.4080516397953033,-0.5132800936698914,-1.083372950553894,0.5933974981307983,-0.4913541674613952,-1.135509014129639,0.8596858382225037,-0.4552156031131744,-1.2305498123168943,0.4097078615756834,-0.5136981970414536,0.2315921910852335,-0.4568823468747522,0.8608438676374185,-0.4542401072333839,155.45594816255706,-26.233753016685455,0.03439847282416982
23,0.2328065782785415,-0.4581640660762787,-1.3643522262573242,0.4095355570316314,-0.5138065218925476,-1.1413204669952393,0.5905747413635254,-0.4913348257541656,-1.183085799217224,0.8568661212921143,-0.4555355906486511,-1.321752667427063,0.4095964019083304,-0.5141655159750221,0.2373879869655336,-0.4562107313424112,0.8571117859345232,-0.4554978362819527,154.84606638439786,-36.592906689552365,0.056564706386652994
24,0.2518768608570099,-0.4554580748081207,-1.4263439178466797,0.4102599322795868,-0.5143194198608398,-1.173483967781067,0.5899962186813354,-0.4912954568862915,-1.214654564857483,0.8565836548805237,-0.4557332396507263,-1.3775492906570437,0.4095915643845593,-0.5146610629118875,0.2437680971509126,-0.4557246677081425,0.8488929880704397,-0.4578651537628565,154.1345275778173,-42.692328394833794,0.059972258870238326
25,0.2577067017555237,-0.4555173218250274,-1.5148478746414185,0.410054862499237,-0.5154581665992737,-1.207863450050354,0.5896793603897095,-0.4912949800491333,-1.2213659286499023,0.8542134761810303,-0.4557729959487915,-1.3850315809249878,0.409715562517329,-0.5151162954296291,0.2498947711239833,-0.4558097180855001,0.8364176946917466,-0.4612677411787425,153.46011332749094,-40.46485501958102,0.03551800339407438
26,0.2554083466529846,-0.455398291349411,-1.4508329629898071,0.410471647977829,-0.5155391693115234,-1.1705726385116575,0.5904218554496765,-0.4912785291671753,-1.2223776578903198,0.8553284406661987,-0.4557641148567199,-1.3827179670333862,0.4099866407212011,-0.5154474867285462,0.2551509924313128,-0.4568115276185169,0.8214297138559741,-0.4652234067870536,152.9956134933509,-27.869990048402546,0.015208006711195954
27,0.2545599639415741,-0.4582593142986297,-1.4544895887374878,0.4100851416587829,-0.5159355998039246,-1.150888204574585,0.5361839532852173,-0.4949845671653747,-1.0746970176696775,0.7431818246841431,-0.4844098389148712,-1.1450921297073364,0.4104372968555002,-0.515585462672716,0.2593140211697044,-0.4588835703237022,0.8069610894345328,-0.4689148171314476,152.8857535215596,-6.5915983074785345,0.05993176210985612
28,0.2619859278202057,-0.4582619369029999,-1.2465529441833496,0.4106653034687042,-0.5158389806747437,-1.0574893951416016,0.5536215305328369,-0.4947355687618255,-1.046639084815979,0.8064925670623779,-0.4720903933048248,-1.1750290393829346,0.4111095500210951,-0.5155018630661914,0.2624739978960945,-0.4618644280716877,0.7963953957172665,-0.4714846024076309,153.18733144728571,18.09467554356729,0.18240507264929892
