Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
1,0.6377640962600708,-0.5223362445831299,-0.426715612411499,0.585081934928894,-0.6667872667312622,-0.3831219375133514,0.4661901295185089,-0.8112379908561707,-0.6874218583106995,0.6846492290496826,-0.7422110438346863,-0.0354125872254371,0.6377616556413329,-0.5223433099707198,0.6846528251182854,-0.7422145363177283,0.466167336822247,-0.8112440544573591,42.747359691480256,,
2,0.6378342509269714,-0.5215914845466614,-0.2957444787025451,0.587550699710846,-0.6628671884536743,-0.2503820359706878,0.4687023758888244,-0.8082345724105835,-0.4902257323265075,0.6832361221313477,-0.7429014444351196,-0.0363533310592174,0.6378094217626867,-0.5216751434425237,0.6835874965272175,-0.742660692837367,0.4675112060671264,-0.8091586475323387,42.5864110590044,-9.656917948551468,
3,0.6378427147865295,-0.5209261775016785,-0.2371352314949035,0.5890989303588867,-0.661329984664917,-0.1816854327917099,0.4693077504634857,-0.8063132166862488,-0.40376877784729,0.6821512579917908,-0.743140459060669,-0.0365921184420585,0.6379494720311767,-0.5210058206352888,0.6826364284199646,-0.7430560895650731,0.4686656454736762,-0.8073261915607811,42.340590995726565,-14.749203796669974,0.0036015798831872258
4,0.6378485560417175,-0.5206374526023865,-0.2015620619058609,0.5898592472076416,-0.6609526872634888,-0.1380523443222046,0.4696279764175415,-0.8055191040039062,-0.3530581295490265,0.6817173361778259,-0.7434165477752686,-0.0365896560251712,0.6382451676942201,-0.520340680765999,0.6818804208372267,-0.7433629728288308,0.4695045002517661,-0.8059251604770247,42.06335086526881,-16.63440782746534,0.0036190154818065107
5,0.6380065083503723,-0.5200065970420837,-0.186314582824707,0.5906521677970886,-0.6598776578903198,-0.1186057776212692,0.4696990549564361,-0.8049672245979309,-0.3263117372989654,0.6813240647315979,-0.743552565574646,-0.0366376191377639,0.6387093813924551,-0.5197029584296957,0.6813517130316372,-0.7435643650830297,0.4699567427105519,-0.8050215107449535,41.79286887310437,-16.228919529866488,0.0028637944120922846
6,0.6392495632171631,-0.5191942453384399,-0.1561447978019714,0.5911847949028015,-0.659119188785553,-0.0912618413567543,0.4694618582725525,-0.8048405051231384,-0.298305332660675,0.6811805367469788,-0.7436962723731995,-0.0363311693072319,0.6392958738875864,-0.5191397087666886,0.6810379290194566,-0.7436650919932486,0.4699783537490659,-0.8045768224339706,41.558767143837024,-14.046103756040653,0.0021519336526500087
7,0.6404771208763123,-0.5185745358467102,-0.1809355467557907,0.5915152430534363,-0.6589952707290649,-0.1116146743297576,0.4684880673885345,-0.8049243688583374,-0.3157906234264374,0.6810900568962097,-0.7437198162078857,-0.0362507738173007,0.6399137804306885,-0.5187171767694673,0.6809001670860693,-0.7436883150382657,0.4695109270363909,-0.804488990733223,41.388217326535774,-10.232989038075004,0.001801829313357044
8,0.6409367918968201,-0.5183884501457214,-0.1373994946479797,0.5915009379386902,-0.6589720845222473,-0.0746349319815635,0.4675801396369934,-0.8051120638847351,-0.2705292701721191,0.6810882687568665,-0.7437087893486023,-0.0361769050359725,0.6404626451809737,-0.5185046247564982,0.6808943713661092,-0.7436696985190241,0.4684555909650132,-0.8046413192027686,41.30949433012901,-4.723379784405637,0.006869675312727473
9,0.6410700678825378,-0.5184016227722168,-0.1821601092815399,0.5914856791496277,-0.6589198708534241,-0.1204684823751449,0.4673133194446563,-0.8051420450210571,-0.3274749517440796,0.6810890436172485,-0.7436397075653076,-0.0361368209123611,0.6408703514583564,-0.5185530316314102,0.680986716728763,-0.7436497533687387,0.4666855020422846,-0.8049391778670916,41.351189692010145,2.5017217128679192,0.0158881184847304
10,0.6410843729972839,-0.5186575055122375,-0.1701966673135757,0.5908880233764648,-0.6589145064353943,-0.1055182740092277,0.4655996859073639,-0.8051881790161133,-0.2977000176906585,0.6810920834541321,-0.7435616850852966,-0.0361378639936447,0.6411142974806338,-0.5188770713031083,0.6811583281526274,-0.7436644113999792,0.4641024575782325,-0.8053230401135046,41.53678530085843,11.135736530897304,0.028289161005506807
