Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),corrected_angles,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
1,0.7132776379585266,-0.4647433161735534,-0.3117186427116394,0.6447222232818604,-0.6288005709648132,-0.3927273452281952,0.5191383361816406,-0.8086745738983154,-0.7669806480407715,0.7680867314338684,-0.7122274041175842,-0.0552025511860847,41.930941803035466,0.7132771351031162,-0.464743762335011,0.7680856415929052,-0.7122286356603308,0.5191383339266686,-0.8086750518974484,41.93070836225456,,
2,0.7126004099845886,-0.4654568433761596,-0.3532031178474426,0.6427083611488342,-0.6297094821929932,-0.4155601561069488,0.5144318342208862,-0.8092880249023438,-0.7317768931388855,0.7709197998046875,-0.7126145958900452,-0.0564823411405086,43.23385797827734,0.7127339720316993,-0.4652521030562584,0.7695485745851199,-0.7128345748896058,0.514122389444018,-0.8094129641636424,42.323671355535225,23.57777959683972,
3,0.7123036980628967,-0.4658185243606567,-0.387355625629425,0.6405205130577087,-0.6304093599319458,-0.4491347670555115,0.5092880129814148,-0.8097818493843079,-0.7525246739387512,0.7720608115196228,-0.7136567831039429,-0.0603514350950717,44.10619242277102,0.7122283977281713,-0.4657632153936772,0.7707842617276869,-0.713443588495245,0.509563450484546,-0.81011013941345,42.90634452487852,34.96039016059768,0.017994975450857556
4,0.7116958498954773,-0.4661032855510711,-0.439115822315216,0.6380994319915771,-0.6318396925926208,-0.5128481984138489,0.50429368019104,-0.8110116720199585,-0.822293758392334,0.7719243764877319,-0.7139596939086914,-0.070367082953453,44.67758291821258,0.7117911728213794,-0.4662792759719579,0.7716469102172098,-0.7140562785555392,0.5058307967043972,-0.8107276225188127,43.52693376829839,37.2353546051923,0.014873548221255603
5,0.7113956809043884,-0.4667219817638397,-0.4218686521053314,0.6368058323860168,-0.6329118013381958,-0.4905453026294708,0.5019806623458862,-0.8114616274833679,-0.808355450630188,0.771848738193512,-0.7147353887557983,-0.0752492025494575,44.97561377646332,0.7114401945525626,-0.4667986743615174,0.7721076566250067,-0.7146687905829746,0.5031302964332794,-0.8112354538482052,44.08333743717332,33.3842201324957,0.010063668200063816
6,0.7110772728919983,-0.467272400856018,-0.4274907112121582,0.6359151005744934,-0.6338608860969543,-0.4986290335655212,0.5012302994728088,-0.8118113875389099,-0.8178701996803284,0.7717986106872559,-0.7150918841362,-0.074350468814373,45.11168636135153,0.7111773225929692,-0.4673117356560307,0.7722350493194007,-0.715271080610124,0.5014654679915889,-0.8116227798661305,44.52119257552992,26.271308301396203,0.009559854621523763
7,0.7109850645065308,-0.4677900969982147,-0.4170649349689483,0.635256290435791,-0.6342690587043762,-0.4870624244213104,0.5011917948722839,-0.8118698000907898,-0.8097677826881409,0.7717633843421936,-0.7157455682754517,-0.0759704411029815,45.144290153561144,0.7109885575815459,-0.4677998063204655,0.7721448878188115,-0.7158454540535972,0.5006587157321684,-0.8119026711632459,44.826791052329014,18.33590860794544,0.01655249549257206
8,0.7108609676361084,-0.4683011174201965,-0.4164822995662689,0.6349040269851685,-0.6345259547233582,-0.4922678172588348,0.5013945698738098,-0.8119092583656311,-0.8254947066307068,0.7717481255531311,-0.7164419293403625,-0.076512686908245,45.153316930025426,0.7108483509235525,-0.4682393098220074,0.771951267757169,-0.7163677764832971,0.5004275811005381,-0.8121062039476236,45.01512775517501,11.30020217075966,0.03147524353902402
9,0.7108319401741028,-0.4687153697013855,-0.4130336046218872,0.634657621383667,-0.6348235607147217,-0.4930347502231598,0.5011060833930969,-0.8120836615562439,-0.81877201795578,0.7717316746711731,-0.7169705629348755,-0.0767902284860611,45.19927100581566,0.7107274888317471,-0.4686088686877835,0.7717371799533937,-0.7168132113963828,0.5004810240307893,-0.8122686801677129,45.116077106693496,6.05696109110923,0.033819692290620436
10,0.7107405066490173,-0.4689933061599731,-0.4126303195953369,0.6345862150192261,-0.6351866126060486,-0.4979217648506164,0.5009514093399048,-0.8123927712440491,-0.8303103446960449,0.7715520858764648,-0.717319667339325,-0.0770587250590324,45.18165464990659,0.710602127948474,-0.4688961407118861,0.7715469105271467,-0.7171645126703851,0.5005953356457554,-0.8124161711151783,45.162140428792625,2.7637993259477867,0.025031921778890884
