Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,angles,velocity,roughness
1,0.2983429133892059,-0.5203526020050049,-0.5078432559967041,0.2736057341098785,-0.657980740070343,-0.5609562397003174,0.346673309803009,-0.8228826522827148,-0.4759355187416076,0.3062122166156769,-0.744934618473053,-0.1844835877418518,0.2983409780537079,-0.520349342882846,0.3466716189918162,-0.822882217501973,0.3062055782204517,-0.7449348544301556,7.070916685526157,,
2,0.2937874794006347,-0.519385576248169,-0.5401719808578491,0.270540714263916,-0.656476616859436,-0.5823808312416077,0.3447712659835815,-0.8168717622756958,-0.4979582130908966,0.3070436716079712,-0.742733895778656,-0.1855131238698959,0.2956834565557445,-0.5196119968802991,0.3450224970058012,-0.8200079931521737,0.3059000966171692,-0.7432328337429964,6.927145464928981,-8.62627323583057,
3,0.2923009097576141,-0.5186681151390076,-0.5619528889656067,0.2688697874546051,-0.656364381313324,-0.6151137351989746,0.3431152403354645,-0.8153181076049805,-0.5482639670372009,0.3056765496730804,-0.7409831881523132,-0.1891207247972488,0.2933616328598465,-0.5189145437234625,0.3434674605578204,-0.8175092822475833,0.3056234809818851,-0.7417494555855321,6.706759032937789,-13.2231859194715,0.0029349453084748416
4,0.2910128831863403,-0.5182610750198364,-0.5594333410263062,0.2658612430095672,-0.6559252142906189,-0.6080858707427979,0.3422088325023651,-0.8155824542045593,-0.5298555493354797,0.304998368024826,-0.7402858138084412,-0.1902479976415634,0.2916053029471423,-0.5182853734697395,0.3420865425229231,-0.8156248867157688,0.3054130536845411,-0.7406427224274447,6.456957231614386,-14.988108079404174,0.0029962731031734934
5,0.2905248403549194,-0.5180023312568665,-0.5521020293235779,0.2637184262275696,-0.6556356549263,-0.6010769009590149,0.3414618670940399,-0.8156574964523315,-0.5213993191719055,0.3051434457302093,-0.7398108243942261,-0.1903270334005355,0.2904880551102298,-0.5177387163940612,0.34093600139974,-0.814405459238995,0.3053095157498641,-0.7399787833482634,6.208298559645542,-14.91952031813069,0.002481636864363365
6,0.2903739511966705,-0.5174401998519897,-0.5160569548606873,0.2625817954540252,-0.6546715497970581,-0.5505756139755249,0.3397185802459717,-0.8143073916435242,-0.4718572795391083,0.3052829802036285,-0.7399218678474426,-0.1887831389904022,0.2899415605125264,-0.5172791238639858,0.3400470697167319,-0.8137570516248234,0.3053385161189345,-0.7397318739304615,5.97822096254387,-13.804655826100303,0.001902832612714738
7,0.2902500629425049,-0.5166586637496948,-0.496319979429245,0.2617692649364471,-0.6536835432052612,-0.5384606719017029,0.3389622569084167,-0.8134284615516663,-0.4727850556373596,0.305318146944046,-0.7399990558624268,-0.1869927197694778,0.2898116929582124,-0.5169069673759118,0.3394233931374129,-0.813520602057392,0.3054964948363937,-0.7398111049367165,5.775089721857135,-12.18787444120407,0.00038844227439533807
8,0.2902421355247497,-0.5165031552314758,-0.4863198697566986,0.2617827951908111,-0.6534995436668396,-0.523731529712677,0.3389933407306671,-0.8135828375816345,-0.4540585577487945,0.3056375086307525,-0.7401968240737915,-0.1854942291975021,0.2899228566097787,-0.5166192154963367,0.3390358214943855,-0.8135327446130693,0.3057484032562185,-0.7400987042829706,5.601752340468802,-10.400242883300006,0.0010669916067629966
9,0.2902894020080566,-0.5164974331855774,-0.4937213957309723,0.2619056105613708,-0.653531014919281,-0.5309135913848877,0.3389880657196045,-0.8137730360031128,-0.4558963775634765,0.3060779571533203,-0.7409246563911438,-0.1841434091329574,0.2901267366108883,-0.5164073247556348,0.3388234451296808,-0.8136555810594106,0.306036409504103,-0.7404856470691253,5.458100633284746,-8.61910243104333,0.0017919741836117642
10,0.2903136610984802,-0.5162236094474792,-0.4972732663154602,0.2618678510189056,-0.6534725427627563,-0.5359592437744141,0.3388014435768127,-0.8139054179191589,-0.4598608314990997,0.3062468469142914,-0.7410579323768616,-0.1837246567010879,0.2903267706630453,-0.5162577509209654,0.3387069010381202,-0.8137882667350873,0.3062971648963156,-0.7408960931353856,5.342559755155607,-6.932452687748363,0.002082155348347463
11,0.2905351817607879,-0.5162345170974731,-0.4962214231491089,0.2615483403205871,-0.653484582901001,-0.5257756114006042,0.3387234210968017,-0.8139525055885315,-0.4342552125453949,0.3069893419742584,-0.7413102388381958,-0.1833442896604538,0.2904814318405726,-0.5161566858003624,0.3386088103093526,-0.8138706887353215,0.3064844432775402,-0.7412961466919552,5.252343310705613,-5.41298666699964,0.0020132474966993567
12,0.2905631065368652,-0.516189455986023,-0.5012190937995911,0.261257141828537,-0.6535213589668274,-0.5271023511886597,0.3385978639125824,-0.8137864470481873,-0.4391438961029053,0.3070454597473144,-0.7414295673370361,-0.1834320127964019,0.2905943329700384,-0.5160962288696315,0.3384721076138328,-0.8138809646260353,0.3065908730022619,-0.7416863483770406,5.182524334698076,-4.189138560452204,0.0017045759826143907
