Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),corrected_angles,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,angles,velocity,roughness
1,0.1581023782491684,-0.5085925459861755,-0.4790351688861847,0.1416996121406555,-0.6804819703102112,-0.543921172618866,0.1532079875469207,-0.8715700507164001,-0.5266366600990295,0.2885251045227051,-0.7487590909004211,-0.2298863679170608,-29.27675481399196,0.158099599251978,-0.5085923088039938,0.1532071760825883,-0.8715737318908344,0.28852587127959,-0.7487598889813774,-29.276985631479818,,
2,0.1578515321016311,-0.5079983472824097,-0.4627496600151062,0.1416996717453003,-0.6725203394889832,-0.5105977654457092,0.1481035500764846,-0.86906498670578,-0.5279511213302612,0.2890816032886505,-0.7487589716911316,-0.2133511304855346,-30.13971429541688,0.1571107491275803,-0.5079431874938536,0.1500446041341171,-0.8700628306068492,0.2887581354993102,-0.7490036572379342,-29.46924004575236,-11.535264856352612,
3,0.1556752771139145,-0.5073379874229431,-0.4699839651584625,0.1403477042913437,-0.6697380542755127,-0.5164949893951416,0.1475426405668258,-0.8675339818000793,-0.5475627779960632,0.2891110181808471,-0.7487667202949524,-0.2113466411828994,-30.222505128760417,0.1561898697045846,-0.50733764384141,0.1471318020099227,-0.8687702954525851,0.2889441742274011,-0.749346298189018,-29.754614060672267,-17.122440895194373,0.004335630012362155
4,0.1555180847644806,-0.5065895915031433,-0.451712816953659,0.138738214969635,-0.6697128415107727,-0.4885526895523071,0.1444146782159805,-0.867671012878418,-0.5312238931655884,0.2892806231975555,-0.7487428188323975,-0.2033322304487228,-30.677048459520435,0.1554018321593098,-0.5068119419291953,0.1446649205301391,-0.8678476901002438,0.2890568803074113,-0.7498431597798942,-30.0575795597612,-18.177929945336047,0.0035396107735359158
5,0.1547726094722747,-0.5064556002616882,-0.4485248029232025,0.1380131691694259,-0.6699939370155334,-0.4932370185852051,0.1428051590919494,-0.8677139282226562,-0.5447054505348206,0.2890660762786865,-0.7513033151626587,-0.2005356848239898,-30.641128768823545,0.1547968859330658,-0.5063911856564917,0.1427574353508218,-0.8673475664457911,0.2890980864684914,-0.7504885364328144,-30.32644148541491,-16.13171553922257,0.002378506521184798
6,0.1541016995906829,-0.506091833114624,-0.4488342404365539,0.1357395946979522,-0.6691747307777405,-0.496536523103714,0.1415207684040069,-0.8677178025245667,-0.5482594966888428,0.2890152931213379,-0.7515814900398254,-0.1990571022033691,-30.7843576288,0.1543988542560884,-0.5060868271950649,0.1414382653656993,-0.8672383055332695,0.2890954394824443,-0.7512268557375135,-30.532931474341225,-12.389399335578872,0.002408260097458109
7,0.1540021300315857,-0.5058819055557251,-0.4508539140224457,0.1348273009061813,-0.668973982334137,-0.499094694852829,0.1401292234659195,-0.8677276372909546,-0.5517587661743164,0.2890008985996246,-0.7520610690116882,-0.1969587057828903,-30.934914572743956,0.1541971991692377,-0.505897858855913,0.1406614332419316,-0.8674417986037454,0.2890900169450809,-0.7519847435621762,-30.66915313953207,-8.173299911450727,0.004687332041322991
8,0.1542170494794845,-0.5058623552322388,-0.4517503678798675,0.1348823755979538,-0.6686026453971863,-0.5012521743774414,0.1403504610061645,-0.8677656054496765,-0.556159496307373,0.2890884578227997,-0.7528057098388672,-0.1967592388391494,-30.836005836320975,0.1541469068458438,-0.5058143139823523,0.1403206692865205,-0.8678651632525805,0.2891212721231343,-0.7527007938369762,-30.742566577690997,-4.4048062895355855,0.008862196006042437
9,0.1542352735996246,-0.5058192014694214,-0.450569212436676,0.1347672790288925,-0.6687066555023193,-0.4919243156909942,0.1405204236507415,-0.86785489320755,-0.5342249274253845,0.2890555262565613,-0.7531874179840088,-0.1964777559041977,-30.760676158309295,0.1541784601708357,-0.5058210270633765,0.1402714049161646,-0.8684137264748625,0.2892146458030319,-0.7533391527292957,-30.77018977833949,-1.6573920389095065,0.009517775513079866
10,0.1543775349855423,-0.505892276763916,-0.4505594968795776,0.134934052824974,-0.668789803981781,-0.4909374117851257,0.1406126469373703,-0.8690162301063538,-0.5300409197807312,0.2892402112483978,-0.7540277242660522,-0.1960993111133575,-30.695132759161417,0.1542158520122262,-0.5059006626153904,0.1403612124440992,-0.8689921133324169,0.2893745133151331,-0.7538896466503334,-30.772679895418317,-0.1494070247296974,0.006881872170282563
