Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),corrected_angles,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,angles,velocity,roughness
1,0.1789126396179199,-0.5021830797195435,-0.4648913145065307,0.1596611887216568,-0.6657403707504272,-0.5176474452018738,0.1656292527914047,-0.8583723902702332,-0.5209932923316956,0.3002158403396606,-0.7514976859092712,-0.2228101938962936,-28.080830293776657,0.1789112035595414,-0.5021837229118615,0.1656304233182936,-0.8583722649899854,0.3002156452951853,-0.7514982030209933,-28.08065819790517,,
2,0.1761814206838607,-0.5009981393814087,-0.460445374250412,0.1617391407489776,-0.6657393574714661,-0.4929729998111725,0.1652818471193313,-0.8621944189071655,-0.4734737873077392,0.2970422208309173,-0.7506740093231201,-0.2150833159685135,-27.5587201466563,0.1763801390840462,-0.5013152447959248,0.1655969681125322,-0.860617962858095,0.2981080986759589,-0.7511210138878486,-27.92781105233176,9.170828734404637,
3,0.1735146790742874,-0.5003263354301453,-0.4408107101917267,0.1625393182039261,-0.6651481986045837,-0.4657403528690338,0.1656017899513244,-0.8638677000999451,-0.4426710903644562,0.2958894968032837,-0.7505685687065125,-0.207241952419281,-27.306720002426395,0.174048136123242,-0.5005530231326922,0.1654532452705724,-0.862539986865614,0.2960840582586314,-0.7508312502205833,-27.698312966222495,13.769885166555795,0.002937683342515409
4,0.1706042736768722,-0.4998010396957397,-0.4406434893608093,0.163329005241394,-0.6649594902992249,-0.4756404757499695,0.165520504117012,-0.8645764589309692,-0.447283536195755,0.2945863604545593,-0.7506163716316223,-0.2057704776525497,-27.10239706069944,0.1720625578492118,-0.4999743512142438,0.1651104673475078,-0.8639169724551582,0.294209081067547,-0.7506894992780496,-27.44672120848548,15.095505464220835,0.002685665907061021
5,0.1705435067415237,-0.4994296729564667,-0.4379239678382873,0.163975104689598,-0.6643232703208923,-0.4554519951343536,0.1647481769323349,-0.8644971251487732,-0.4049999415874481,0.2931836545467376,-0.7506802678108215,-0.2044198215007782,-26.927350738490567,0.170482988603787,-0.4996122690081738,0.1645214809598835,-0.8646841461667357,0.2925286647386338,-0.7507170043008862,-27.210796813561828,14.155463695419217,0.0019418823753726625
6,0.1705511510372162,-0.4994433522224426,-0.4434242248535156,0.1638721376657486,-0.6643916368484497,-0.4650960266590118,0.1635433137416839,-0.8644371628761292,-0.4344753623008728,0.2907201051712036,-0.7509239315986633,-0.2004284113645553,-26.64054718160284,0.1692873867246944,-0.4994539170839404,0.1636944271835478,-0.8649189063713899,0.2910780011776154,-0.7508974223356916,-27.014767994850825,11.761729122660183,0.0015483167227078834
7,0.1693076193332672,-0.4995572865009308,-0.4492332935333252,0.1638540178537368,-0.6643945574760437,-0.4739594459533691,0.1630486994981765,-0.8643600940704346,-0.4848752021789551,0.2897034287452698,-0.7512938380241394,-0.2003115117549896,-26.542904599938257,0.1684123288769407,-0.4994523837550111,0.1626930037933696,-0.8647835200107423,0.2898849902242985,-0.7511884330661195,-26.871285266490965,8.608963701591605,0.0018483370206566138
8,0.1670447885990142,-0.4998400807380676,-0.4494097530841827,0.16366608440876,-0.664394199848175,-0.4791548550128937,0.1618397831916809,-0.8642822504043579,-0.5110575556755066,0.2887445092201233,-0.7515633702278137,-0.2006101608276367,-26.62044998419708,0.1677938241164479,-0.4995469828374773,0.1616233787282004,-0.8644610545188347,0.2889616621599702,-0.7515366399067658,-26.78239429973393,5.333458005422074,0.0045233817576687445
9,0.1668492555618286,-0.4998467266559601,-0.4453048706054687,0.1632719784975052,-0.6642003655433655,-0.4828440248966217,0.1602275669574737,-0.8638789057731628,-0.5383437275886536,0.288239449262619,-0.7519553899765015,-0.2010561525821685,-26.75287794601023,0.1673783511017601,-0.4996843813450551,0.1606102332841655,-0.8641087358145819,0.288294830292149,-0.751891196358321,-26.740882450986216,2.4907109248628245,0.006164519615686198
10,0.1669555902481079,-0.4998535811901092,-0.4381115734577179,0.1630914211273193,-0.664035975933075,-0.4834610521793365,0.1591216027736663,-0.8638156652450562,-0.5385631918907166,0.2880679368972778,-0.752284586429596,-0.2007070332765579,-26.863999162138953,0.167108945532924,-0.4998325939240896,0.1597646574988347,-0.8638351195998136,0.2878462279131403,-0.7522138210632239,-26.733318323067248,0.4538476751380926,0.005774875728613004
11,0.1670429706573486,-0.4999594390392303,-0.4325176775455475,0.1631912440061569,-0.6640636324882507,-0.4773518741130829,0.1589395403861999,-0.8637640476226807,-0.5350887179374695,0.2875762283802032,-0.7526127696037292,-0.2003142386674881,-26.780399437557236,0.1669143895779847,-0.4999835323387794,0.1591530201308978,-0.8636966798553521,0.2875621118522514,-0.7524843957791287,-26.744572618605403,-0.6752577322892961,0.00394872445634908
