Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,Right_Shoulder (X)_smoothed_smoothed,Right_Shoulder (Y)_smoothed_smoothed,Right_Pinky (X)_smoothed_smoothed,Right_Pinky (Y)_smoothed_smoothed,Right_Hip (X)_smoothed_smoothed,Right_Hip (Y)_smoothed_smoothed,angles,velocity,roughness
1,0.2384183257818222,-0.5711975693702698,-0.3018649816513061,0.2630485892295837,-0.7172456383705139,-0.3714031279087066,0.4150894284248352,-0.8808075785636902,-0.3758021295070648,0.3650480210781097,-0.8046607375144958,-0.2095826119184494,0.2384149722572819,-0.5711977503332898,0.4151138723625928,-0.8807926487853798,0.365046952860545,-0.8046614107069727,0.2384162875648511,-0.5711959043247281,0.4150893751529487,-0.880803471807396,0.3650483380871912,-0.8046608389680464,1.235086431857745,,
2,0.2363688200712204,-0.5713003277778625,-0.3148892223834991,0.2632535099983215,-0.7193984985351562,-0.3806454837322235,0.3859505951404571,-0.9179128408432008,-0.4229884445667267,0.3699504435062408,-0.8122602701187134,-0.2016260176897049,0.2362036725685291,-0.5715551100282147,0.4024347286710269,-0.8967331765433086,0.3702281499377798,-0.8092634821581803,0.2371179728606595,-0.5713754880800498,0.4062490091175958,-0.8921874446398522,0.3681974508436081,-0.8077080502506236,0.2544735326275954,-58.83677395380898,
3,0.2347497940063476,-0.5715254545211792,-0.317628413438797,0.2635795772075653,-0.7231922745704651,-0.3801013827323913,0.3835475444793701,-0.9232467412948608,-0.4179744720458984,0.3767723739147186,-0.8154338598251343,-0.1918941289186477,0.2340877887513673,-0.5719352602115239,0.39161340797462,-0.9099759433621278,0.3750565523559428,-0.8132972561887443,0.2357711878929173,-0.571591462635085,0.3982502532227131,-0.902250899409816,0.371358965249006,-0.8105585520185785,-1.2079796343519915,-87.74719001877523,0.11608502181242476
4,0.2317609935998916,-0.5722554922103882,-0.3160437643527984,0.2635790109634399,-0.7258309125900269,-0.3758416175842285,0.3792914152145386,-0.92669016122818,-0.4152799546718597,0.379459798336029,-0.8173373937606812,-0.190907284617424,0.232160288307816,-0.5723436289136944,0.3837686059837181,-0.9188888625956824,0.3792470542294043,-0.8163766464810528,0.2343621626417831,-0.571865731962973,0.3916692963674535,-0.9100713116196844,0.374501477367624,-0.8130500056177056,-2.810536833647729,-96.15343195774425,0.10643564931336139
5,0.2298659086227417,-0.5731106996536255,-0.3135129809379577,0.2645457684993744,-0.7280446887016296,-0.3684880137443542,0.3824500441551208,-0.9181390404701232,-0.4146742224693298,0.3814382255077362,-0.8185970783233643,-0.1896753162145614,0.2304968778398419,-0.5727625443801989,0.3790361868881078,-0.923323532151936,0.3826243246545196,-0.8183894417082692,0.2329226747219984,-0.5721970129609054,0.3867146965458378,-0.9153294749045569,0.3775334451441914,-0.8150829241309331,-4.337133713110338,-91.59581276775651,0.07888306571590852
6,0.2286945730447769,-0.5732740759849548,-0.3044067025184631,0.2646078765392303,-0.728192925453186,-0.3599793016910553,0.3840843141078949,-0.9147513508796692,-0.4119398891925812,0.3865244388580322,-0.8188064694404602,-0.1871918886899948,0.2291355531107654,-0.5731581273678734,0.3768095949592995,-0.9242935339753272,0.3851327106949798,-0.8194713136844397,0.2315162374450845,-0.5725624116080567,0.3832624419888724,-0.9182812977880584,0.3803221655317494,-0.816633956069851,-5.671003240376569,-80.0321716359739,0.05986288418147603
7,0.2284554094076156,-0.5732988119125366,-0.2951900959014892,0.2646234929561615,-0.7278262376785278,-0.35056933760643,0.3791506290435791,-0.9182799458503724,-0.4037401974201202,0.3870481550693512,-0.8186607360839844,-0.1853926181793213,0.228066483918484,-0.5734915529198401,0.3762293487349981,-0.9232500870995612,0.3868236536309252,-0.8199008360362131,0.2302108425347705,-0.572925612086846,0.381010570180669,-0.91952783959321,0.3827343675824642,-0.8177484188800966,-6.766531882392866,-65.73171852097781,0.039486097176594785
8,0.2277903109788894,-0.5735024809837341,-0.2955079078674316,0.2646525204181671,-0.7277401089668274,-0.3526148796081543,0.3767995536327362,-0.919653296470642,-0.4053934514522552,0.3872398138046264,-0.8187196850776672,-0.185560792684555,0.2272433212453204,-0.5737264452860886,0.3765982991897221,-0.9214290015103466,0.3878300216207229,-0.8199760164326646,0.229056377920738,-0.5732459620085738,0.3796580949806339,-0.919721997770129,0.3846775521568721,-0.8185141141320881,-7.620673239122432,-51.248481403773965,0.09577703354754162
9,0.2264740467071533,-0.5739486813545227,-0.2945854365825653,0.2645956575870514,-0.728287398815155,-0.3503196239471435,0.3769651055335998,-0.9204766154289246,-0.4047245383262634,0.38747638463974,-0.8200129866600037,-0.1850915402173996,0.2266074896251273,-0.5738333510385554,0.3775542449469477,-0.9195421673305056,0.3883263084898528,-0.8199241662489472,0.228076112851245,-0.5734856532715796,0.3790201702807108,-0.9193536007526438,0.3861227750500746,-0.8190281679849614,-8.248571849615228,-37.67391662956776,0.12981452724734172
10,0.2260833829641342,-0.5740435719490051,-0.2946349680423736,0.264459490776062,-0.7283389568328857,-0.3474903702735901,0.3766131103038788,-0.9209534525871276,-0.3862097859382629,0.3886436223983764,-0.8203584551811218,-0.1848532855510711,0.226107350481971,-0.5737971961175564,0.3790300172803414,-0.9178028894758964,0.3884833377751919,-0.8198710660840413,0.2272695800208595,-0.5736162343809051,0.3790507093537396,-0.9186753708070876,0.3871019487721491,-0.8193721836100536,-8.66735531311264,-25.12700780984474,0.13210520296392717
