Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Neck Green X,Neck Green Y,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Back Orange X_smoothed,Back Orange Y_smoothed,Neck Green X_smoothed,Neck Green Y_smoothed,Leg Pink X_smoothed,Leg Pink Y_smoothed,angles,velocity,roughness
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1.0,399.5,905.5,473.375,1307.53125,547.0,736.8070068,428.5,765.0,548.0338745,933.1977539,548.0336280025484,933.197628492948,546.9975402982587,736.8054858786887,473.37677941229447,1307.5285497724733,168.41861258669417,,
2.0,399.5,905.5,473.3603516,1307.360352,546.9500122,736.7000122,428.5,765.0,548.0338745,933.1977539,548.059829232777,933.3674180965304,546.8994263148318,736.9011099044095,473.0634076106052,1307.4562212495805,168.38130848112837,-2.2382463339477,
3.0,399.5,905.5,473.3603516,1307.360352,546.9500122,736.7000122,428.5,765.0,548.2238159,933.5856934,548.0673100847325,933.5380500773584,546.7975269002891,737.0117296172245,472.73460296983137,1307.3813865139682,168.3234972116361,-3.468676169536593,0.00021027188615379316
4.0,399.5,905.5,472.5,1307.298828,547.0,736.8070068,428.5,765.5,548.2238159,933.5856934,548.0445317966294,933.7060914321504,546.6989553713427,737.1399676904986,472.39290382221793,1307.301959598491,168.2582674227621,-3.9137873324403927,0.0002092369983925358
5.0,399.5,905.5,471.5,1307.5,546.46875,737.625,428.5,765.5,547.9177246,933.9177246,547.9918724945976,933.8627516827336,546.622184784482,737.2709032204262,472.06359349964646,1307.2185629102682,168.19716300518638,-3.6662650545423503,0.00015414502956437984
6.0,399.5,905.5,471.6666565,1307.0,546.46875,737.625,428.5,765.5,547.9177246,933.9177246,547.9200895052985,933.9961314171394,546.5908738804151,737.3817973186096,471.78138335060993,1307.1367832276248,168.15024608866025,-2.8150149915677503,0.0001298739947772037
7.0,398.8641968,905.6913452,471.5,1307.0,546.46875,737.625,428.5,765.5,547.7729492,934.3236694,547.8433913977492,934.095976352104,546.6213068349732,737.4584113606692,471.5722790473656,1307.0666230128645,168.12474354651206,-1.5301525288913354,0.00025432041538206673
8.0,398.8641968,905.6913452,471.5,1307.0,546.46875,737.625,428.5,765.5,547.3793335,934.1494141,547.7710161497032,934.1589135493748,546.710511349917,737.5056972081853,471.4445226886114,1307.0185515443811,168.12367693814298,-0.0639965021451871,0.0007139403074484543
9.0,399.5,905.5,471.5,1307.0,546.46875,737.625,428.5,765.5,547.7729492,934.3236694,547.702649667298,934.191248937047,546.8324815561831,737.5453553776488,471.3914462361127,1306.9991603887302,168.14549222245796,1.3089170588989418,0.0011296804205088587
10.0,399.5,905.5,471.5,1307.0,548.1929932,736.8070068,428.8641968,765.6913452,548.1149292,934.0,547.6317046516828,934.2070202346276,546.9462436947197,737.6013387582724,471.4000406544081,1307.0091499857415,168.18471508813636,2.3533719407038234,0.0012090160149362907
