Frame #,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Neck Green X,Neck Green Y,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Back Orange X_smoothed,Back Orange Y_smoothed,Neck Green X_smoothed,Neck Green Y_smoothed,Leg Pink X_smoothed,Leg Pink Y_smoothed,angles,velocity,roughness
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1.0,431.5,764.0,547.3917236,935.6151123,549.1864624,738.1958008,395.5,905.5,465.5,1313.5,547.391780746647,935.614951904617,549.1864599933792,738.1957912051308,465.4999999492045,1313.4999997644284,168.29330531312448,,
2.0,431.5,764.0,547.3917236,935.6151123,549.4117432,738.0906982,395.5,905.5,465.5,1313.5,547.3702043792016,935.5916459542576,549.233369543968,738.1864063364858,465.5000012875432,1313.5000006070816,168.30281286089857,0.5704528664455211,
3.0,431.5,764.0,547.3917236,935.6151123,549.4117432,738.0906982,395.5,905.5,465.5,1313.5,547.3448268345288,935.5643659079597,549.2723695652543,738.1813075867855,465.5000030434649,1313.5000018227845,168.3178283317932,0.9009282536783304,1.5168608550927111e-05
4.0,431.5,764.0,547.3917236,935.6151123,549.203125,738.229187,395.5,905.5,465.5,1313.5,547.3145035211943,935.531859075204,549.2997474258466,738.181503394112,465.5000046147208,1313.5000030644462,168.33573906611684,1.0746440594181197,1.8222218601927378e-05
5.0,431.6666565,764.0,547.2147217,935.4230957,549.203125,738.229187,395.5,905.5,465.5,1313.5,547.2817166942941,935.4967230601052,549.3157649969896,738.1841280028667,465.5000049976278,1313.5000036820054,168.3545372334674,1.1278900410331971,1.756210446507851e-05
6.0,431.6666565,764.0,547.2147217,935.4230957,549.203125,738.229187,395.5,905.5,465.5,1313.5,547.2512832372659,935.463985223595,549.3208566824268,738.1843399705173,465.5000029958418,1313.5000028218772,168.37215479338,1.0570535947556436,1.4238410144140491e-05
7.0,431.5,764.0,547.2147217,935.4230957,549.4117432,738.0906982,395.5,905.0,465.5,1313.5,547.2277214854091,935.4382674307192,549.3130852326577,738.1773635297756,465.49999770714135,1313.49999971928,168.38626880404397,0.8468406398384332,4.058672744529562e-06
8.0,430.0,764.0,547.2147217,935.4230957,549.4975586,738.0893555,395.5,905.5,465.5,1313.5,547.2132106338248,935.4216553162988,549.2898969933932,738.1592828459279,465.49998925632286,1313.4999941858673,168.3947751301008,0.5103795634107655,1.7986210768767077e-05
9.0,430.6666565,764.0,547.2147217,935.4230957,549.1624756,738.2416382,395.5,905.5,465.5,1313.5,547.2072026074295,935.41342810925,549.2520520383675,738.1276447501733,465.4999795826236,1313.49998719146,168.39660252839374,0.1096438975758928,4.944489236902672e-05
10.0,430.6666565,764.0,547.2147217,935.4230957,549.1624756,738.2416382,395.5,905.5,465.5,1313.5,547.207278787785,935.4111813600084,549.2052369295736,738.0831781992057,465.4999729011153,1313.4999813035345,168.3922258596585,-0.2626001241139875,8.008735054657081e-05
