Frame #,Hand Pink X,Hand Pink Y,Elbow Pink X,Elbow Pink Y,Head Pink X,Head Pink Y,Shoulder Green X,Shoulder Green Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Head Pink X_smoothed,Head Pink Y_smoothed,angles,velocity,roughness
1.0,979.9408569,900.9310303,724.0629883,997.555542,264.5,997.0,492.834564,1015.63989,492.832552656323,1015.6392090016806,979.9426395159248,900.9307639996985,264.5001440766888,996.9999218467742,162.08213455231805,,
2.0,980.1351929,901.0220337,724.0804443,997.8496704,264.931458,996.931458,492.834564,1015.63989,492.8328496501244,1015.6404875079802,980.0226728241656,900.973115610789,264.8120293270537,996.954357469011,162.0775857350213,-0.2729290378050564,
3.0,980.1351929,901.0220337,724.0804443,997.8496704,265.334686,996.947571,492.834564,1015.63989,492.8334003237754,1015.6410607946784,980.0938836040608,901.0153888470312,265.07661713394015,996.9136288072588,162.0711651153623,-0.3852371795397857,1.751822041653897e-06
4.0,980.1351929,901.0220337,724.0804443,997.8496704,265.425415,996.892334,492.834564,1015.63989,492.83464342757014,1015.6404673252288,980.1498407334252,901.0559461751798,265.26342570876665,996.8821820894232,162.0651076714933,-0.3634466321398122,9.852491453726839e-07
5.0,980.1351929,901.0220337,724.0804443,997.8496704,265.400513,996.807373,492.834564,1015.63989,492.8367266920432,1015.638558519128,980.188429050534,901.0930108966772,265.36806219106177,996.8634748533572,162.06106550255188,-0.2425301364854704,1.3238790231509393e-06
6.0,980.2003174,901.1589966,723.9333496,998.0944214,265.330841,996.873901,492.834564,1015.63989,492.8390736502744,1015.6356258415608,980.2109776031116,901.1247126918566,265.41053081960484,996.8591568368014,162.05992510601706,-0.0684237920893338,4.3991137097727105e-06
7.0,980.2003174,901.1589966,723.9988403,997.9858398,265.330841,996.873901,492.834564,1015.63989,492.8399937194058,1015.632503263572,980.2212507161476,901.1504689585096,265.42443096240305,996.8684541537128,162.0617616629384,0.1101934152808326,1.2212326726905345e-05
8.0,980.3857422,901.3551636,723.9988403,997.9858398,265.330841,996.873901,492.834564,1015.63989,492.8364545013098,1015.6305191065892,980.2256739785638,901.1736516757926,265.4427688165424,996.88820000624,162.06606310123846,0.2580862980028087,1.7750365846041264e-05
9.0,980.2003174,901.1589966,724.1800537,998.0535278,265.330841,996.873901,492.834564,1015.63989,492.82409443721474,1015.6311226372444,980.2340846520248,901.2035522399004,265.4862493658653,996.9134483559014,162.07217379858145,0.3666418405794047,1.6717384598648426e-05
10.0,980.2003174,901.1589966,724.3723145,998.0662231,265.5,997.0,492.659027,1015.56995,492.7975806850689,1015.6351022103048,980.2590382241664,901.2543045111404,265.5578985144417,996.9385425813142,162.07976842284083,0.4556774555629772,1.205872780575045e-05
11.0,980.3857422,901.3551636,724.3723145,998.0662231,265.822998,996.972839,492.834564,1015.63989,492.751837769758,1015.6417282288292,980.3127800922664,901.3406694456452,265.64543838616385,996.9586338313412,162.0891685586693,0.5640081497074334,8.555225355540146e-06
12.0,980.2782593,901.5,724.3723145,998.0662231,265.822998,996.972839,492.834564,1015.63989,492.6847920605477,1015.6486404304516,980.4030151299212,901.47311225192,265.7297085466939,996.9711396211936,162.10135552044025,0.731217706257894,9.217797883278826e-06
13.0,980.3857422,901.6448364,724.3723145,998.0662231,265.822998,996.972839,492.708923,1015.74884,492.60056682263286,1015.6530203113276,980.5293116247134,901.6541827154202,265.7942667123622,996.97629001932,162.1175798037268,0.9734569971936936,1.6084192891767033e-05
14.0,980.8137817,901.6342773,724.6124268,998.2271118,265.822998,996.972839,492.305756,1015.6441,492.5099359915495,1015.6533726951184,980.6819350632388,901.8762136989468,265.8312219340251,996.9765495744588,162.13865010759628,1.2642182321678774,2.9482012427180663e-05
15.0,980.8467407,901.9846802,724.6984253,998.6383057,265.822998,996.972839,492.376587,1015.62341,492.4263466127947,1015.65040133357,980.8443847719344,902.120889682446,265.8419032351361,996.975451351344,162.16427593459017,1.537549619633296,4.311219120560563e-05
16.0,980.9840698,902.6397095,724.6734009,998.6779175,265.822998,996.972839,492.376587,1015.62341,492.36026266966616,1015.6462547279313,980.9987387001828,902.3634773139514,265.8343120200081,996.9763977050104,162.19293982252032,1.719833275809037,4.507838766651193e-05
17.0,981.1807251,902.9133301,724.7671509,998.944458,265.822998,996.972839,492.305756,1015.6441,492.31602183222816,1015.6429992719889,981.131228077273,902.582772589358,265.81980314958014,996.9816621911184,162.2224747371284,1.772094876485539,3.0956201095961016e-05
18.0,981.4257813,902.6080933,724.7258301,999.428894,265.822998,996.972839,492.305756,1015.6441,492.2922943018976,1015.641617584257,981.2362763927118,902.7715411124968,265.8102055465086,996.9916880937149,162.25101177253356,1.7122221243090507,1.2028674059429313e-05
19.0,981.3044434,902.8485107,724.862854,999.2565308,265.822998,996.972839,492.305756,1015.6441,492.2844108070683,1015.64193407085,981.3178843700792,902.9400080758488,265.8154113603107,997.0048735675936,162.27772069125226,1.602535123121811,2.5539856135236703e-06
20.0,981.2347412,903.2347412,724.8289795,999.6731567,265.743988,997.063354,492.305756,1015.6441,492.2868250476188,1015.6430589359264,981.3868663503084,903.1113254953844,265.84106766985843,997.0181557125532,162.30303191100978,1.5186731854515756,2.91800704946477e-06
21.0,981.3092651,903.3434448,724.8289795,999.6731567,265.840424,997.072083,492.305756,1015.6441,492.29486061343823,1015.6439015767556,981.4543360735054,903.3139705639268,265.8866187061254,997.0284170925648,162.32844439803364,1.5247492214314209,3.548563771598768e-06
22.0,981.5,903.5,724.763855,999.8986206,265.950134,997.015747,492.305756,1015.6441,492.30535972286464,1015.6435879232912,981.5255711224988,903.5742242898928,265.944968028939,997.033960701554,162.35610266590308,1.659496072166462,1.9690457510670344e-06
23.0,981.6907349,903.6565552,724.43927,1000.105896,266.093506,997.024414,492.305756,1015.6441,492.31624398253393,1015.641786387981,981.598931510417,903.9084258369164,266.00487192330826,997.0350004653995,162.38817130491032,1.92411834043412,7.6621516063678e-06
24.0,981.7478638,904.1903076,724.4679565,1000.304504,266.093506,997.024414,492.305756,1015.6441,492.3254082448988,1015.6389611393504,981.6704613477688,904.3164299213812,266.0553028775135,997.0329810182558,162.42607711617714,2.274348676009481,2.868862404079601e-05
25.0,981.8838501,905.1161499,724.8483887,1000.539368,266.093506,997.024414,492.305756,1015.6441,492.32960598892583,1015.6365138814006,981.7404070415243,904.7804680709864,266.0893442753018,997.0295273474184,162.46991277548562,2.630139558509086,5.693571380414672e-05
26.0,981.8838501,905.1161499,724.8483887,1000.539368,266.093506,997.024414,492.305756,1015.6441,492.3240120555131,1015.636706562096,981.8167717773324,905.2709323073152,266.10565903610967,997.0257925129214,162.5183039944172,2.9034731358950694,7.104243650447664e-05
27.0,981.7652588,905.7652588,725.3110962,1000.334656,266.093506,997.024414,492.305756,1015.6441,492.3029639229335,1015.6422301682376,981.9129477663284,905.755217950275,266.10754154671224,997.022368617014,162.5687570841404,3.0271853833914975,5.741429392808537e-05
28.0,981.9352417,906.2698975,725.5917969,1000.895935,266.093506,997.024414,492.305756,1015.6441,492.2619356462685,1015.6553569039104,982.0399705503368,906.2053433676416,266.10088780434313,997.0195696801022,162.61829373676866,2.9721991576957407,2.7063277959945257e-05
29.0,981.8838501,906.6691895,725.5980225,1001.310852,266.093506,997.024414,492.234558,1015.64935,492.2001142839222,1015.6768242765532,982.1977238913058,906.6037643093092,266.0923025277444,997.0178321023122,162.6642197020011,2.755557913946518,7.371339717546531e-06
30.0,982.5257568,907.0980225,725.4744263,1001.435547,266.093506,997.024414,492.234558,1015.64935,492.1222756163948,1015.7049431495376,982.3712151587886,906.9476841565522,266.0877918107711,997.0179979811742,162.70491159428008,2.4415135367382845,1.5309924682863908e-05
31.0,982.7176514,907.3535156,725.0941772,1001.811707,266.093506,997.024414,491.927765,1015.79443,492.03846589593456,1015.7356848721364,982.5355142381696,907.2500276190132,266.09189464865545,997.0212989394169,162.74037850749917,2.1280147931457805,3.972566429427374e-05
