Frame #,Hand Pink X,Hand Pink Y,Body Pink X,Body Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Body Pink X_smoothed,Body Pink Y_smoothed,angles,velocity,roughness
1.0,715.083313,1240.730103,518.5,1429.0,599.6107788,1204.828491,654.4622803,989.166687,654.4587182903433,989.172916882853,715.0818856616628,1240.7314300831806,518.496817340069,1429.0014304459291,329.2729517278639,,
2.0,715.083313,1240.730103,518.5,1429.0,599.5653076,1204.791382,654.4622803,989.166687,654.5763370169112,989.1033360311724,714.895916044303,1240.7258895643474,518.5658191669969,1429.0059257123723,329.2991988955656,1.5748300621010003,
3.0,714.5856934,1240.776245,518.5,1429.0,599.4560547,1205.108032,654.7514038,989.1186523,654.6870234724389,989.0505038310172,714.7240552966829,1240.731635611614,518.6716018002309,1429.0768001520148,329.3420792334331,2.572820272048375,0.00013833117488205627
4.0,714.5,1240.740234,518.5,1429.0,599.5439453,1205.108032,654.7377319,988.9779663,654.781956616438,989.0289483675224,714.5781552763507,1240.7568515128164,518.834088125445,1429.2600029967598,329.395737547028,3.219498815693669,0.00019069967162065117
5.0,714.5,1240.740234,518.8850708,1429.0,599.5449219,1204.966309,654.6817017,988.8295898,654.8507099045406,989.0480278028934,714.4659837470016,1240.8047031650465,519.0485712293045,1429.5694625818385,329.4552970589934,3.5735707179242127,0.00021391077507214155
6.0,714.3470459,1240.570801,519.5,1430.5,599.7995605,1205.031616,655.0,989.0,654.8830797125443,989.1091147316084,714.3903360021105,1240.8707895288003,519.2885260158474,1429.983508005898,329.5154696242355,3.610353914526741,0.0002029847167780719
7.0,714.5108032,1241.099609,520.0,1430.5,599.9603271,1205.695801,655.2661743,989.3621216,654.87331453976,989.2067805875644,714.3506199029484,1240.9432404296083,519.5206015022522,1430.455160478377,329.57057924376574,3.3065771718145243,4.84056384434415e-05
8.0,714.3621216,1241.168701,520.2113647,1430.788574,599.7040405,1205.948242,654.5950928,989.7427368,654.8242141522876,989.3358151816046,714.345389667037,1241.0083070734324,519.7229546924565,1430.9317000745343,329.61554609877453,2.698011300527696,3.738765435897861e-05
9.0,714.1846924,1241.396362,518.8300781,1431.830078,599.3134766,1206.240601,654.5623779,989.5601196,654.746597026145,989.4992630116088,714.373289154916,1241.059926869185,519.8933956728482,1431.3737368040158,329.6469521024415,1.8843602200183796,0.00014793694588254158
10.0,714.5,1241.0,520.2893066,1432.163574,599.3355713,1206.099731,654.6155396,989.6333618,654.6540939979568,989.7088088299128,714.4317972968054,1241.1062967525345,520.0426620426748,1431.7672747644017,329.6635578916971,0.9963473553364112,0.0003168500593519261
