Frame #,Hand Pink X,Hand Pink Y,Body Pink X,Body Pink Y,Shoulder X,Shoulder Y,Elbow X,Elbow Y,Shoulder X_smoothed,Shoulder Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Body Pink X_smoothed,Body Pink Y_smoothed,angles,velocity,roughness
1.0,520.1333618,1356.655884,715.175293,1175.456909,659.9526978,920.2612915,599.2350464,1132.325684,659.9533943698242,920.260424817648,520.1351256520353,1356.6550429278327,715.1739989807679,1175.4570424844478,29.974835363219768,,
2.0,519.9109497,1357.221436,715.1540527,1175.95459,660.3026733,920.3701172,599.2350464,1132.325684,660.0992133486578,920.1729606478572,520.0988153355227,1356.8313607868358,715.193410201313,1175.544915731287,29.965389937631063,-0.5667255353223055,
3.0,520.321228,1357.586914,715.6398926,1176.30896,660.6179199,920.237793,599.5,1132.769531,660.2138308790496,920.0570101451888,520.0684008245119,1356.9544128673986,715.2122953025339,1175.5784597692368,29.952006473136844,-0.8030078696531007,7.754075210668008e-06
4.0,520.0958862,1357.148193,715.0661621,1175.661621,660.3095093,920.0357056,599.4516602,1132.723877,660.2791512537859,919.898119135336,520.0510999703288,1356.9975925576991,715.233571763282,1175.5315810372203,29.938982772697308,-0.7814220263721694,4.740271917411244e-06
5.0,519.8666382,1356.668823,715.0,1175.0,659.8004761,919.6848145,598.8190308,1132.333374,660.2934768947182,919.7025681278866,520.0548980352386,1356.9704278864017,715.260850499333,1175.4155609822058,29.92874662878164,-0.6141686349401709,3.89524709791444e-06
6.0,520.0,1356.687256,715.109314,1174.930664,660.355835,919.4176025,599.3555298,1132.365601,660.2649068655431,919.4943465312429,520.0862208681632,1356.906252553388,715.2916927925603,1175.2652537110778,29.921586488509277,-0.4296084163416935,6.72691973850692e-06
7.0,520.4047852,1356.517822,715.5,1175.0,660.3629761,919.2963257,599.2144165,1132.265137,660.203324825749,919.305170764515,520.1470483498097,1356.8396623397343,715.3132080052106,1175.116271506175,29.91598333048564,-0.3361894814181454,1.1993239975600842e-05
8.0,520.0678711,1356.779785,715.3096924,1175.210449,660.0336914,918.9550781,599.3752441,1132.427124,660.1177277414392,919.162644658924,520.2340015065819,1356.7896358511132,715.3056677801205,1174.9904829005925,29.90939062104232,-0.3955625665992812,9.325012953595886e-06
9.0,520.2330933,1357.063232,715.5,1175.0,660.0111084,919.0166626,599.5,1132.5,660.0172090656256,919.08105248959,520.3389161439192,1356.7567142740347,715.2520780300046,1174.8953179225236,29.89920216125916,-0.6113075869895113,4.552688024640271e-06
10.0,520.6004028,1356.749512,715.1730347,1174.722656,660.0111084,919.0166626,599.3752441,1132.427124,659.9114337996953,919.0578447770604,520.4496512148153,1356.7315613245048,715.1467603779397,1174.8300008472963,29.88364532572837,-0.9334101318474808,1.6280285856590714e-05
11.0,520.6004028,1356.749512,714.8613281,1174.817139,659.666687,919.2642822,599.3752441,1132.427124,659.8097838529505,919.076934465699,520.5518342976342,1356.7057482554003,714.9977356818728,1174.7903885166934,29.86232836315335,-1.2790177545012682,4.319671285302416e-05
12.0,520.5569458,1356.681152,714.8029175,1174.785522,659.8419189,919.0723877,599.3555298,1132.365601,659.7200036327265,919.116781166265,520.6313954192494,1356.677398975868,714.8226203797201,1174.7703652374285,29.836312418240677,-1.560956694760307,6.275877345606461e-05
13.0,520.6176147,1356.660522,714.6776733,1174.771362,659.5168457,919.2996216,599.3752441,1132.427124,659.6468309628011,919.1588980098488,520.6760276803653,1356.650640345918,714.6417849335647,1174.7619097917973,29.807847693574107,-1.7078834799941944,5.6277363547461954e-05
14.0,520.5952148,1356.482178,714.3601074,1174.69104,659.6107788,919.1715088,599.432312,1132.432373,659.5911210084868,919.1931908081748,520.6756077464555,1356.6315930950907,714.4727305040307,1174.7551708858798,29.779985037192866,-1.671759382874498,2.9320262922795444e-05
15.0,520.8200684,1356.605347,714.3601074,1174.69104,659.6107788,919.1715088,599.7416382,1132.387451,659.550014227243,919.219127071984,520.6239391573953,1356.6239168960028,714.3269824031627,1174.7386904434925,29.756086704187975,-1.4338999802934185,8.67509716057491e-06
16.0,520.7463379,1356.651978,714.1730347,1174.722656,659.5058594,919.3019409,599.5,1132.5,659.5181429837713,919.2437530461896,520.5224348632485,1356.6264648276606,714.209215373843,1174.7005166693564,29.739182445726694,-1.0142555076768645,2.1824609857470415e-05
17.0,520.211731,1356.746338,714.1730347,1174.722656,659.4764404,919.4019775,599.4598389,1132.696777,659.4890064616845,919.278114095721,520.3823494437165,1356.6342173992175,714.1183018345104,1174.63109801599,29.731327592724934,-0.4712911801055952,7.519711086656589e-05
18.0,520.1188965,1356.59021,714.0516968,1174.586548,659.4054565,919.1384277,599.3909302,1132.794189,659.4557075107876,919.3325640586604,520.2216882814735,1356.6410345174,714.0495878931728,1174.5272389286963,29.733263787407484,0.1161716809529878,0.0001465269122178073
19.0,519.939209,1356.620605,714.0,1174.5,659.4054565,919.1384277,599.2904663,1132.87915,659.4115039163692,919.4110383768084,520.0578989333711,1356.6415826166362,713.9972048348437,1174.3946585694302,29.744474574413523,0.6726472203623501,0.00019895374800014455
20.0,519.939209,1356.620605,713.9475098,1174.099731,659.4008179,919.6298828,599.2854004,1132.876221,659.3512914214219,919.5069534910456,519.9019441434073,1356.6315378334195,713.955582345993,1174.2467984995335,29.763452904787464,1.138699822436422,0.00020655202661915185
21.0,519.8811035,1356.603027,713.890686,1174.069336,659.4331055,919.7265625,599.4362183,1132.899048,659.2740762980287,919.604934567144,519.7576803638154,1356.60730051607,713.9202049193847,1174.0997331515798,29.78801093808621,1.4734819979247504,0.00016938975022171417
22.0,519.6343384,1356.598022,713.9246216,1173.768066,659.1195679,919.7137451,599.2904663,1132.87915,659.184660033219,919.688384023244,519.6252450616137,1356.5664648766856,713.8882294774412,1173.9659251632736,29.815650141388957,1.658352198164863,0.00010864293374989158
23.0,519.5,1356.5,713.890686,1174.069336,659.0108643,919.8206787,599.2261353,1132.978516,659.0923833737927,919.7477820034844,519.5043509088489,1356.5090063128528,713.8593916029523,1173.8507321575023,29.844079302197272,1.7057496484989088,5.127071210750516e-05
24.0,519.4216919,1356.457886,713.9246216,1173.768066,659.0108643,919.8206787,599.1357422,1132.918213,659.0070754897786,919.7851037453978,519.3948151702507,1356.438453905581,713.8367600693329,1173.753342687576,29.871840387818494,1.6656651372733222,1.5421139191809138e-05
25.0,519.0723877,1356.453979,713.8613281,1173.746338,658.9121094,919.8901367,598.920105,1133.376221,658.9348243556386,919.8133180673,519.2947218864678,1356.3624115923094,713.8259954221771,1173.669766932759,29.898795897697532,1.6173305927422632,2.2429961786811054e-06
26.0,519.211731,1356.291382,713.7555542,1173.52063,658.8305054,919.7161865,599.0388794,1133.144409,658.8757801822691,919.8517085904796,519.1986906972837,1356.2917883681075,713.8317370994126,1173.5938484671185,29.92611452527122,1.6391176544212982,3.018462549208579e-07
27.0,519.2658081,1356.135132,713.6941528,1173.302368,658.8305054,919.7161865,599.0388794,1133.144409,658.8242941887755,919.9185880522524,519.0990164265071,1356.2380201379472,713.8512473961182,1173.5149193585844,29.955495171039615,1.7628387461036965,9.244666629645167e-07
28.0,519.0881958,1356.120483,713.7710571,1173.296265,658.8250732,920.1417847,599.1116943,1133.268433,658.770868656449,920.0247156034184,518.990063415866,1356.208657462678,713.8679771759456,1173.415015545788,29.987757917444377,1.9357647842856809,4.7457639245898606e-06
29.0,518.8531494,1356.170654,713.7710571,1173.296265,658.8250732,920.1417847,599.1105347,1133.333374,658.7050089582561,920.17099088199,518.8724786005575,1356.203697483565,713.8491926136766,1173.2706624536415,30.021424214305252,2.019977811652538,8.842347933782682e-06
30.0,518.7059937,1356.318848,713.6941528,1173.302368,658.5,920.5,599.0690308,1133.812622,658.6172179844165,920.3506832947394,518.7532473165239,1356.2153427861415,713.7506194564388,1173.0620294826836,30.05208350703661,1.839557563881442,6.102025897365319e-06
31.0,518.583313,1356.363037,713.6175537,1173.329834,658.4031982,920.62677,599.0690308,1133.812622,658.4987725644754,920.552719242992,518.6414085034476,1356.2312438196964,713.5283099159518,1172.786269207181,30.07304509544116,1.2576953042729857,2.479715620164761e-05
32.0,518.4612427,1356.130005,713.46875,1172.385376,658.4031982,920.62677,598.8920898,1133.845825,658.3403968386444,920.7621798932248,518.542639808998,1356.2381720401877,713.1552554460924,1172.4659520108653,30.077266221841512,0.2532675840211595,0.00015146622863487324
33.0,518.4612427,1356.130005,713.0,1171.894287,658.1091919,920.5828247,598.881897,1133.78479,658.1324559262321,920.957301778609,518.4560007107108,1356.2231310963298,712.6373614314964,1172.143749746738,30.060040267981016,-1.0335572316297714,0.00044560092955620056
34.0,518.4612427,1356.130005,712.1125488,1171.709961,657.8574219,921.0963135,598.8172607,1133.660645,657.8676240610336,921.1072143680916,518.3741950871346,1356.1724932551324,712.0207825475047,1171.8634083485983,30.02147805467607,-2.313732798296755,0.0007952438822348894
35.0,518.3311768,1356.133301,711.3621216,1171.168701,657.7880249,921.4393311,598.8419189,1133.870483,657.5446442386587,921.1769152266688,518.2863712923129,1356.072535494067,711.3837729263072,1171.647345369534,29.96763891339443,-3.230348476898328,0.0009283647831938335
36.0,518.194458,1356.0,710.3621216,1171.168701,657.1034546,921.5230103,598.4251709,1133.720581,657.170880712428,921.1406392345692,518.18083253331,1355.9132429079505,710.8129690126751,1171.4838785066954,29.90954137666922,-3.485852203512607,0.0006822198466246564
37.0,517.8910522,1355.734253,709.8874512,1171.709961,656.5487671,921.0244141,598.0690308,1133.812622,656.7616220699699,920.9955976365328,518.0455439869928,1355.6936314598208,710.3729303340062,1171.3326268894211,29.860138322605387,-2.9641832438300497,0.000267377878589257
38.0,517.9138184,1355.555542,709.8874512,1171.709961,656.5,920.5,597.7075806,1133.333374,656.336427505227,920.7658976281488,517.8669028797977,1355.4252039542744,710.0832564024872,1171.147978582521,29.83030271046832,-1.7901367282239988,0.0001339944096263305
39.0,517.6474609,1354.967896,710.1083374,1171.266724,656.0535889,920.5178833,597.2666626,1132.554321,655.9153029350614,920.4946906924524,517.6291503886251,1355.1312563988868,709.9153452609361,1170.9087514952096,29.82551761047485,-0.2871059996081726,0.0004869001133871674
40.0,517.307373,1354.859253,710.0582275,1170.751343,655.3763428,920.3311768,597.0,1132.14856,655.515670704916,920.231466106396,517.3158126185257,1354.8421508413026,709.8103812486584,1170.6355143830256,29.844862085593103,1.1606685070951528,0.0010221063216303867
41.0,516.8811035,1354.603027,710.0,1169.894775,654.8637085,919.8140259,596.333313,1132.270508,655.1483142163183,920.02121547655,516.9123885881958,1354.5888658374545,709.7082085048258,1170.3842507748343,29.88280859740814,2.2767907089021833,0.0012562352158750373
42.0,516.4020386,1354.280762,709.7019653,1170.09021,654.8076172,919.8533325,596.0,1132.14856,654.8132383318286,919.8968452865672,516.4092322262885,1354.397437458661,709.5724897575172,1170.2209515449235,29.932810990726193,3.0001435990831737,0.0010427958523110696
43.0,515.8852539,1354.422119,709.6309814,1170.079346,654.7589722,919.8323975,595.2662964,1132.187744,654.5002220637368,919.8746907812668,515.8046685094841,1354.285325991122,709.402246335561,1170.1924471856487,29.990740708722633,3.475783079786438,0.0006362662415967768
