Frame #,Hand Pink X,Hand Pink Y,Body Pink X,Body Pink Y,Shoulder X,Shoulder Y,Elbow X,Elbow Y,Shoulder X_smoothed,Shoulder Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Body Pink X_smoothed,Body Pink Y_smoothed,angles,velocity,roughness
1.0,577.9177246,1447.168701,720.3824463,1243.670166,668.5316772,994.2781372,614.2289429,1211.296265,668.5264622789533,994.2795086266564,577.9151099383965,1447.1693499607024,720.3802222951438,1243.671459841556,23.05962422355367,,
2.0,577.3911133,1446.608887,720.0761108,1243.510864,668.3373413,993.9899902,614.5,1211.5,668.0617320386289,994.0995021942095,577.4887230741464,1446.744434776767,720.0613449547535,1243.5567296379013,23.07179114325411,0.7300151820264489,
3.0,576.8016968,1446.345947,719.6175537,1243.329834,667.6398315,993.9367676,615.0,1211.5,667.5938606805828,993.9827058146062,577.122340350994,1446.3958386786217,719.7878284203491,1243.4708958748683,23.092946663309508,1.2693312033238868,4.039746817056924e-05
4.0,576.833313,1446.047607,719.6175537,1243.329834,667.1876221,993.6506958,615.0,1211.5,667.1264652748899,993.9726616561376,576.856453036146,1446.1790676804585,719.5938268125415,1243.4335900306912,23.122394449998453,1.766867201336666,7.469749768955304e-05
5.0,576.5250244,1445.708374,719.2348633,1243.465942,666.6087646,993.7265625,615.0,1211.5,666.6700688336269,994.0788353837954,576.6980756176973,1446.111754195778,719.4907453093597,1243.448854122175,23.15998829393998,2.2556306364915457,0.00011927418362056326
6.0,576.5250244,1445.708374,719.2348633,1243.465942,665.9494629,994.4719238,615.0,1211.5,666.2362518515696,994.2731418271228,576.6181412173388,1446.1660518974732,719.4621522799407,1243.505105482985,23.204860812158135,2.6923510930893713,0.0001677171910837278
7.0,576.1983032,1446.654053,719.5814209,1243.62793,665.5187378,994.5625,615.0,1211.5,665.8310755628605,994.5003743592796,576.5599243091742,1446.2758685693682,719.4670179473351,1243.5802771979288,23.25491029907612,3.0029692150790765,0.00013499856454773478
8.0,577.0270386,1446.815308,719.6466064,1243.730957,666.4473877,994.7911987,616.5,1211.5,665.4543180733535,994.699004787622,576.4578498076792,1446.3612977734035,719.4527166780065,1243.6496967698763,23.306942580546984,3.121936888251895,8.686776784280558e-05
9.0,577.0270386,1446.815308,719.6466064,1243.730957,664.5168457,995.2996216,615.0,1211.5,665.1052498405162,994.8235424080518,576.263554337641,1446.3615135040025,719.3742187575031,1243.6940251080007,23.35711754392304,3.010497802563279,3.4422558709446624e-05
10.0,576.0,1446.5,719.5714111,1243.952393,665.0501099,995.0656128,615.5,1211.5,664.7874996174384,994.8595575802594,575.967875929265,1446.2583439887524,719.2106103725097,1243.7047804129024,23.401516482688898,2.663936325951539,1.1867967077945724e-05
11.0,575.0686035,1445.509766,718.5,1243.5,664.0,994.5,614.8790283,1211.643066,664.5072879553028,994.8249750141396,575.6036195639244,1446.077143914914,718.9701354815935,1243.6851829290122,23.43687985775395,2.121802503903183,4.627574032316839e-05
12.0,574.9312744,1445.677002,718.5,1243.5,664.5,994.5,615.0,1211.5,664.2691974854062,994.7568231472808,575.2265293212263,1445.8668062928446,718.6820302296924,1243.645514192886,23.46132223390774,1.4665425692273717,0.0001307429270586267
13.0,575.0,1445.5,718.5,1243.5,664.5,994.5,615.0,1211.5,664.0763305618563,994.6917821727594,574.8898339404084,1445.6739864914412,718.3830007225748,1243.5957760034098,23.47463171314539,0.7985687542588948,0.00022250099015355272
14.0,574.6204834,1445.689819,718.3824463,1243.670166,663.7208252,994.7958374,615.0,1211.5,663.9339416492885,994.652992206633,574.629199958986,1445.5270622730634,718.1083096037817,1243.541073268491,23.478122157179342,0.2094266420372292,0.0002700414907098703
15.0,574.4134521,1445.432739,717.7651367,1243.534058,663.7208252,994.7958374,615.0,1211.5,663.8496084667933,994.6488297987648,574.4611243433261,1445.434258397643,717.8887215516602,1243.4826167215804,23.474316208635965,-0.2283569126026208,0.0002479621774719277
16.0,574.4905396,1445.424561,717.5,1243.5,663.6236572,994.6688232,615.1209717,1211.356934,663.8275421438333,994.6792357203736,574.3880550743212,1445.3900345917154,717.7471276224124,1243.421830304381,23.466476836771857,-0.4703623118464861,0.0001718749878290539
17.0,574.4905396,1445.424561,717.5,1243.5,663.9464111,994.8293457,615.5,1211.5,663.8630167198323,994.741637264113,574.4045031115343,1445.382455326579,717.6926441872876,1243.3627348995976,23.45778185789713,-0.5216987324835287,8.459055946069495e-05
18.0,574.4905396,1445.424561,717.9351807,1242.981445,664.1280518,994.6478271,615.5,1211.5,663.9431204075852,994.8323275508524,574.5015964664319,1445.3982367308035,717.717635805994,1243.3097278557864,23.450346624570265,-0.4461139996119811,2.526411048232933e-05
19.0,574.5473633,1445.340332,717.9351807,1242.981445,664.0597534,994.8478394,615.5,1211.5,664.0527983817976,994.944580700888,574.668698067617,1445.4252343311282,717.8023701132599,1243.2620413769637,23.444755674411663,-0.3354570095161335,3.855159253569154e-06
20.0,575.0,1445.5,718.1589355,1243.453491,664.2233887,995.2024536,615.5,1211.5,664.1803277525032,995.0674613495468,574.8924620958283,1445.4532294748335,717.9240643623017,1243.21056521247,23.440426016957726,-0.2597794472362125,3.159185606870982e-06
21.0,575.0,1445.5,717.6175537,1243.329834,664.2233887,995.2024536,615.0,1211.5,664.3182443562575,995.1880660842904,575.1555298789915,1445.4742491436348,718.0626241021204,1243.1423767450367,23.436332578740668,-0.2456062930234992,3.977746896990179e-06
22.0,575.4905396,1445.424561,718.2756958,1243.250977,664.3028564,995.3082275,615.5,1211.5,664.4605882031838,995.29619265603,575.4366849821073,1445.4831429191747,718.1999751488844,1243.050760927241,23.431422720984152,-0.2945914653909653,1.797367958999906e-06
23.0,575.7266846,1445.569946,718.3632813,1242.966309,664.8566284,995.5734253,615.5,1211.5,664.6000949915059,995.38818234621,575.7129446895163,1445.4781735148213,718.3174819627191,1242.9418711294188,23.42462209892258,-0.4080373236943302,1.1914533587883727e-06
24.0,576.0,1445.5,718.4299927,1242.56665,664.5168457,995.2996216,615.7321777,1211.672363,664.7278142567691,995.4676186497358,575.9631923751339,1445.4610845029868,718.3968020733604,1242.8316635685844,23.41482844293711,-0.5876193591281265,5.661298633572331e-06
25.0,576.2130737,1445.343628,718.4299927,1242.56665,664.9022827,995.6003418,615.8790283,1211.643066,664.8346835787094,995.542498020833,576.1721205919274,1445.4360761153528,718.4239498010035,1242.735064262662,23.401149072818967,-0.8207622070886345,1.5404149066367353e-05
26.0,576.3795166,1445.310181,718.4299927,1242.56665,664.9498901,995.5734253,616.0,1212.0,664.9136724135213,995.6201801745214,576.3328781164054,1445.407498794688,718.3931396860381,1242.655388687235,23.383251051784065,-1.0738812620941474,2.755137104033175e-05
27.0,576.4905396,1445.424561,718.4299927,1242.56665,665.0968018,995.4354858,616.0,1212.0,664.9619806442882,995.7025438715752,576.4473080962586,1445.3776580235249,718.3085198000426,1242.5815492445242,23.361562564185945,-1.301309255887162,3.598266862520036e-05
28.0,576.3795166,1445.310181,718.059021,1242.817139,664.9615479,995.8516235,616.0,1211.695923,664.9821775535913,995.7840557857166,576.5234533720305,1445.346958738457,718.183402876992,1242.4947876392655,23.337217064896592,-1.4607299573611954,3.463646417038699e-05
29.0,576.5384521,1445.634644,718.0,1242.416626,664.8637085,996.1031494,616.1177979,1212.303223,664.9803862563078,995.8548312072364,576.5712571349308,1445.3166465897116,718.0370129720509,1242.3802547292298,23.311855263903844,-1.5217080595648724,2.3270995822239064e-05
30.0,576.5360718,1445.261108,718.0169678,1242.333374,664.8637085,996.1031494,616.1177979,1212.303223,664.9617302686798,995.9074180529047,576.59893665764,1445.2912094521137,717.8899484693338,1242.2359471412396,23.287465937836014,-1.4633595640697905,9.180531658926199e-06
31.0,576.7415161,1444.938721,717.6733398,1242.0,664.9022827,995.6003418,616.4367065,1211.586548,664.9263304257678,995.94160324276,576.6124748614593,1445.2766098633706,717.7600194383173,1242.0739026420686,23.266239215273743,-1.2736033537363056,3.3434449030836356e-06
32.0,576.8222046,1445.155518,717.5482788,1241.788208,664.9408569,995.9731445,616.5,1211.5,664.8692328840558,995.9630659458396,576.6180225849992,1445.2745232158793,717.6587504662513,1241.9140098232297,23.250186888731847,-0.9631395925137554,1.4526558214635038e-05
33.0,576.4905396,1445.424561,717.6063232,1241.745972,664.8406372,996.0054932,616.5,1211.5,664.7845430708504,995.9787996888646,576.623762258253,1445.2785082156045,717.5885717266384,1241.7748512897383,23.2404838786104,-0.582180607286702,4.224941334577094e-05
34.0,576.4905396,1445.424561,717.5499878,1241.546631,664.8637085,996.1031494,616.5,1211.5,664.670816510268,995.9947843570152,576.6377552775457,1445.2773546387973,717.5420308346893,1241.6664957022986,23.236925842159447,-0.2134821870572523,7.175363609987105e-05
35.0,576.4905396,1445.424561,717.444458,1241.620117,664.2844238,995.9782715,616.5,1211.5,664.53395958993,996.0165791224778,576.6627825215422,1445.2632268414902,717.5039817293647,1241.5881424788531,23.237917683255624,0.0595104657706002,8.125920232848204e-05
36.0,576.7662964,1445.209595,717.444458,1241.620117,664.5483398,996.0749512,616.5,1211.5,664.3859973274502,996.0496162905952,576.6936080450394,1445.2371867550298,717.4560615931238,1241.5308585149812,23.24095585290818,0.1822901791533127,6.171243932673381e-05
37.0,576.9299927,1444.97998,717.5,1241.5,664.1704102,996.0393066,616.5,1211.5,664.241175733872,996.097369783722,576.7207460005375,1445.207527504411,717.38254344404,1241.4834065390148,23.243266167140348,0.1386188539301258,2.819513169572751e-05
38.0,576.8381958,1445.074463,717.5,1241.5,664.118103,995.9675903,616.5,1211.5,664.1116784382559,996.1584995677744,576.7387023913134,1445.1830422095863,717.2765663978488,1241.4380230380468,23.24237950912726,-0.0531994807852242,7.069719564083541e-06
39.0,576.7662964,1445.209595,717.1589355,1241.453491,663.8719482,996.3521729,616.5,1211.5,664.003858209576,996.2255031230494,576.7523303409315,1445.1676168293282,717.1439443267391,1241.393610602293,23.236604289137393,-0.3465131993920778,1.2417606135869276e-05
40.0,576.6437988,1445.382324,716.7710571,1241.296265,663.8719482,996.3521729,616.5,1211.5,663.9156725838614,996.2868275087928,576.7766690429943,1445.160712050336,717.0010471950817,1241.3554326075978,23.22529466697255,-0.6785773298904729,3.618670013688415e-05
41.0,576.7662964,1445.209595,716.7710571,1241.296265,663.8719482,996.3521729,616.5,1211.942871,663.8369605494547,996.3316439865728,576.8312054914435,1445.1620601810662,716.8669750732676,1241.331791328215,23.20874529279772,-0.9929624504899692,5.844054569476966e-05
42.0,576.9807739,1445.083374,716.7710571,1241.296265,663.8719482,996.3521729,616.5,1211.942871,663.7534039617755,996.3540953238708,576.9332361487368,1445.1747900434198,716.7553381740773,1241.3293147973716,23.18774692542182,-1.2599020425539464,6.509571492669605e-05
43.0,577.0918579,1445.091797,716.7710571,1241.296265,663.5968018,996.37323,616.5,1211.942871,663.6524951512915,996.3548152732118,577.0939728908684,1445.2035678915058,716.6709332755627,1241.3490445878913,23.16310880309101,-1.4782873398485918,5.65855105913732e-05
