Frame #,body X,body Y,hand X,hand Y,shoulder X,shoulder Y,shoulder X_smoothed,shoulder Y_smoothed,body X_smoothed,body Y_smoothed,hand X_smoothed,hand Y_smoothed,velocity,roughness,angles
0,363.2767333984375,1357.8333740234375,366.41741943359375,1865.2733154296875,203.27696228027344,1191.7720947265625,203.27561838744828,1191.771503641767,363.27693115430577,1357.8329791582162,366.41819828341016,1865.2731718081172,,,329.681274336459
1,363.5,1357.84228515625,366.41741943359375,1865.2733154296875,203.27696228027344,1191.7720947265625,203.35419354554503,1191.6787436819095,363.3698834252757,1357.8510726454824,366.4254767429563,1865.3987368971664,0.1573366575098589,,329.6838966140842
2,363.5,1357.84228515625,366.41741943359375,1865.2733154296875,203.5,1191.5,203.42079770980996,1191.598031696734,363.4462409534768,1357.8537011139897,366.4418777325875,1865.5208164331573,0.2056319947871543,3.239499448232943e-07,329.6873238139973
3,363.5,1358.0,366.6060485839844,1865.9427490234375,203.5,1191.5,203.46653365739436,1191.5387503329305,363.4949234054629,1357.8308278044565,366.4780233595094,1865.635789419052,0.1614508883244525,1.9913595676815093e-07,329.69001466213604
4,363.5,1358.0,366.6060485839844,1865.9427490234375,203.5,1191.5,203.48828242984672,1191.504930402814,363.5128772428234,1357.7825287960077,366.5468807168061,1865.7433928060352,0.0782134333678641,7.806894668200907e-07,329.69131821935883
5,363.5,1357.5,366.6060485839844,1865.9427490234375,203.5,1191.5,203.49005007288997,1191.4941476523788,363.5041837943742,1357.7196422096442,366.6628610405593,1865.8512049546655,0.0412875209008234,1.2500701535196534e-06,329.6920063447072
6,363.5,1357.5,366.81787109375,1865.683837890625,203.5,1191.5,203.48237473952665,1191.498445847709,363.477410851442,1357.6585981799387,366.8377756807404,1865.9733346783687,0.1333874107137944,1.1869610282282217e-06,329.6942294682191
7,363.33892822265625,1357.6610107421875,366.9724731445313,1866.006103515625,203.5,1191.5,203.48007556040625,1191.5065355263448,363.44268150880225,1357.6131761348374,367.07458557051126,1866.1214596511936,0.3930593077052435,5.263730786654774e-06,329.70078045668083
8,363.5,1357.5,366.9724731445313,1866.006103515625,203.5,1191.5,203.49877787879996,1191.5063571656206,363.4091966076535,1357.588977959461,367.36209898582734,1866.29457939696,0.7971119058151999,2.7709237654341178e-05,329.7140656551111
9,363.33892822265625,1357.6610107421875,368.0955810546875,1866.73779296875,203.5,1191.5,203.5504250158696,1191.4877306848396,363.3836271393195,1357.5834684805818,367.6746298532941,1866.4759613389865,1.2727812071932476,7.207890707773219e-05,329.735278675231
10,363.33892822265625,1357.6610107421875,368.0955810546875,1866.73779296875,203.5,1191.5,203.638423333398,1191.4450567362808,363.36934298883074,1357.5899236759522,367.978509164732,1866.6401585548977,1.7250241529063717,0.00011586931969292248,329.7640290777794
11,363.3765869140625,1357.6234130859375,368.015869140625,1866.913818359375,203.5,1191.5,203.75443739632055,1191.3795188727895,363.3661728747253,1357.6021111434134,368.2417847781333,1866.7653031504176,2.0629723917681986,0.00012684346075561098,329.79841195097555
12,363.3765869140625,1357.6234130859375,368.5833435058594,1866.8282470703125,204.27117919921875,1191.242919921875,203.8799680332608,1191.2993995938627,363.3707759055835,1357.6171526514418,368.4409971972344,1866.842729776431,2.21947187705382,9.473780205196853e-05,329.83540314892645
13,363.3765869140625,1357.6234130859375,368.5,1866.9244384765625,204.07733154296875,1191.10400390625,203.9936763601793,1191.2173450116627,363.3777754141914,1357.635511091116,368.56369875231064,1866.879280301505,2.167804508773088,4.332095987639573e-05,329.87153322407266
14,363.3765869140625,1357.6234130859375,368.794677734375,1866.835693359375,204.07733154296875,1191.10400390625,204.08000096512973,1191.1455912806402,363.3813046446379,1357.6587952189343,368.60942886916814,1866.8928851434032,1.9318321352807288,1.0990003843688429e-05,329.90373042632734
15,363.3765869140625,1357.6234130859375,368.56451416015625,1866.79296875,204.07733154296875,1191.10400390625,204.1327034664267,1191.0922716331925,363.3765534480278,1357.6869861035734,368.5898512531549,1866.9046048139764,1.5737516965918985,1.8488618220034447e-05,329.92995962127054
16,363.3765869140625,1357.6234130859375,368.4543151855469,1866.9036865234375,204.07733154296875,1191.10400390625,204.15202560476465,1191.0610730222963,363.3612676538953,1357.716786942118,368.5263288717115,1866.9305301315703,1.1591436919491116,5.485838508648993e-05,329.949278682803
17,363.4214172363281,1357.9071044921875,368.3844299316406,1866.934326171875,204.07733154296875,1191.10400390625,204.13954792668764,1191.0535593985965,363.3371192268629,1357.7425374607258,368.44455089884633,1866.9763681789984,0.7248725517411003,9.404358987991959e-05,329.9613598919987
18,363.4214172363281,1357.9071044921875,368.3844299316406,1866.934326171875,204.07733154296875,1191.10400390625,204.0951262882105,1191.0716676348777,363.31016401417855,1357.7596396448548,368.36844518472526,1867.0362536577877,0.2750616715252363,0.00012053503455832792,329.9659442531908
19,363.1236267089844,1357.7506103515625,368.5122985839844,1867.16552734375,204.07733154296875,1191.10400390625,204.01763741937407,1191.1183112238728,363.2888942367446,1357.7676412921332,368.3157167240913,1867.0958927168851,-0.1951920043393329,0.00013587024935588965,329.9626910531185
20,363.0633850097656,1357.4788818359375,367.9928588867187,1867.2572021484375,204.07733154296875,1191.10400390625,203.90859517334704,1191.1956433117048,363.27949954324544,1357.769444616081,368.29471811422366,1867.139193971588,-0.6730815152661762,0.0001460150475834138,329.95147302786404
21,363.360107421875,1357.8345947265625,368.0833435058594,1867.375,203.7720642089844,1191.2769775390625,203.7756354800487,1191.3022807736809,363.2812638205946,1357.767146509688,368.30146131270385,1867.156041308737,-1.1233395129772816,0.00014982250509774347,329.93275070264775
